,ttime,P,error_P,SV,error_SV,SH,error_SH
35.0,3.5902779887806493,0.0002826553467135522,2.64612212111226e-05,-3.6353064432795267e-06,7.725061017862663e-06,-0.0,0.0
46.0,3.566272393428102,0.0002574702834727323,2.912157753668367e-05,1.2546630084708848e-05,6.200607849699514e-06,-0.0,0.0
57.0,3.5520087901845545,0.00027146136420259443,2.9612336379226797e-05,1.592223361009896e-05,7.507687527039503e-06,-0.0,0.0
68.0,3.536361848031986,0.0005542564827597138,1.9713853557340126e-05,1.851602703007212e-05,1.5370031618369063e-05,-0.0,0.0
79.0,3.5087216622332065,0.0006846891867903767,9.773856857046992e-06,3.698723274104126e-05,1.514900963371532e-05,-0.0,0.0
90.0,3.4875458210918673,0.0006871858664119031,1.0347989704798217e-05,2.539012467200651e-05,1.9744437331445996e-05,-0.0,0.0
101.0,3.4581095248052445,0.0006928289989542005,1.2457653528877553e-05,2.7675108408115054e-05,1.7250745105424855e-05,-0.0,0.0
112.0,3.4257876680534216,0.0007006403946745802,1.0673523726865188e-05,4.17925289800934e-05,1.729302489726263e-05,-0.0,0.0
123.0,3.4047375032831897,0.0007052096095288462,1.0249113398288955e-05,2.5327297741406227e-05,2.0033492792217134e-05,-0.0,0.0
134.0,3.374532388509977,0.0007145414317726945,9.916664573611114e-06,3.9019877327063097e-05,1.788753777597245e-05,-0.0,0.0
145.0,3.345030860276116,0.0007215733619480761,8.82479729580463e-06,2.0464667266738106e-05,1.8498823109422995e-05,-0.0,0.0
156.0,3.310463177620537,0.0007310564622953629,1.0784288460311519e-05,2.2217127765619378e-05,1.8199336150355676e-05,-0.0,0.0
167.0,3.2910552585660255,0.0007338119069479457,9.196218457879848e-06,-3.952735405853174e-06,1.664589505836953e-05,-0.0,0.0
178.0,3.2603769529696023,0.0007360797142276624,1.1030104550881493e-05,9.724617597209499e-06,1.7503715905217952e-05,-0.0,0.0
189.0,3.2410132577936324,0.0007419297594724548,1.1092022854907208e-05,3.655695324058008e-05,1.6503347124654807e-05,-0.0,0.0
200.0,3.221820695862344,0.0007542692889233664,8.877045928785031e-06,5.012792815975057e-05,1.5625878397570647e-05,-0.0,0.0
211.0,3.1972633682391423,0.0007702861120787722,5.682291377461225e-06,3.932120038116296e-05,1.960547116846258e-05,-0.0,0.0
222.0,3.1719334900093266,8.521522450529106e-05,1.9329361156942013e-05,3.2639754849138605e-06,1.5244948001323586e-06,0.0,0.0
233.0,3.1679732629822825,2.6264821476214026e-05,1.2762908408922785e-05,1.996043950261892e-06,1.1216408915338088e-06,0.0,0.0
244.0,3.1628035333488684,2.4762404333862986e-05,1.3439117053349331e-05,2.892077848532881e-06,1.326972748168639e-06,0.0,0.0
255.0,3.160440948269206,1.529417319147846e-05,9.9855668903422e-06,1.6761405010904104e-06,8.870073150223807e-07,0.0,0.0
266.0,3.160969210573754,1.674859303465191e-05,8.664673115432706e-06,1.9956884083601657e-06,1.0006545563149278e-06,0.0,0.0
277.0,3.156531490996292,1.7434719799787912e-05,9.241853795230521e-06,3.431874474980429e-06,1.301663533230058e-06,0.0,0.0
288.0,3.160501673601693,1.6543413988149504e-05,9.970970086052951e-06,6.004875760199163e-07,4.055197149155647e-07,0.0,0.0
299.0,3.1562997641540744,1.3888576551208007e-05,8.495075820779286e-06,5.354189337366559e-07,5.6777404812167e-07,0.0,0.0
310.0,3.1516024716402304,9.028290464891194e-06,7.566691022053079e-06,1.833602383417909e-07,4.854805839220134e-07,0.0,0.0
321.0,3.1578450112677743,1.1755308403591727e-05,8.10850205827523e-06,9.514197442312271e-07,6.821822197666994e-07,0.0,0.0
332.0,3.151725956678649,1.0057332349154725e-05,7.604331184625279e-06,2.411995654335424e-06,1.2983918204113746e-06,0.0,0.0
343.0,3.1593715726211733,8.58174891333906e-06,6.302310667262771e-06,1.3216198200700986e-06,7.700577151065315e-07,0.0,0.0
354.0,3.15690297674938,2.126760220704936e-05,1.1775769927143441e-05,2.6587124912588335e-06,1.1031890314345705e-06,0.0,0.0
365.0,3.1553919632781144,0.00073944934746994,1.7005025907446026e-05,6.20586971408731e-05,1.776056046434036e-05,0.0,0.0
376.0,3.136648693485052,0.0007850442283949303,7.2372275448076035e-06,2.8581494285078267e-05,1.4980611244728488e-05,0.0,0.0
387.0,3.1054854810630044,0.0007944574514665884,4.989732765890231e-06,5.883071097165014e-07,1.9095016830620857e-05,-0.0,0.0
398.0,3.078237278751153,0.000803955929240414,4.621877620517204e-06,8.498147055232897e-06,1.922712362485772e-05,0.0,0.0
409.0,3.0546033064770635,0.000808893651152017,6.397517761561213e-06,3.561265064167884e-05,1.6566512093455474e-05,-0.0,0.0
420.0,3.0257758229175127,0.0007495970780755946,1.9119369308302212e-05,6.771866996213588e-05,1.7379948448510983e-05,-0.0,0.0
431.0,2.9997193494499013,6.605378959563923e-08,2.0379872155704497e-06,-1.331771585336441e-07,2.519610967132689e-07,0.0,0.0
442.0,2.9988227171178456,5.682994813435628e-06,5.492220993747003e-06,3.374060924200665e-07,2.6891083041311076e-07,0.0,0.0
453.0,2.9970907648617024,4.623947745495673e-06,4.8013979587028644e-06,1.1329650733214924e-06,8.124753376956666e-07,0.0,0.0
464.0,2.997528507021654,1.2752447780992003e-05,1.0315917723831233e-05,1.9428307290332234e-06,7.823074594862527e-07,0.0,0.0
475.0,3.000330221757886,9.997709541927567e-06,7.084151339869394e-06,1.3213836674661734e-06,6.169396554834754e-07,0.0,0.0
486.0,2.9983770973830675,1.0525707114986165e-05,8.975746342718353e-06,1.7317958207643208e-06,7.372799693693265e-07,0.0,0.0
497.0,3.001025677532838,1.6581167999583994e-05,8.493203321683559e-06,2.685894911070582e-06,9.071126044464778e-07,0.0,0.0
508.0,2.9939571487530157,1.7256392244904348e-05,1.1013055046133792e-05,1.5430354260696264e-06,1.028081969290256e-06,0.0,0.0
519.0,3.001849958759914,1.723242089621581e-05,9.209277236863323e-06,1.3612885342133677e-06,7.302792342343245e-07,0.0,0.0
530.0,2.9989139377582132,1.4292983042529772e-05,8.468665696121544e-06,2.807149160454491e-06,1.088520093318141e-06,0.0,0.0
541.0,3.0019942471587044,2.4137169165271044e-05,1.1255600096238994e-05,2.8984417543492432e-06,1.1249897529880444e-06,0.0,0.0
552.0,3.0075147348283267,2.393580110774306e-05,1.2179514982517283e-05,1.5749214237497705e-06,8.5350482466696e-07,0.0,0.0
563.0,3.0059558472204033,1.672338081109888e-05,1.0964898316216725e-05,5.106703450214244e-07,5.59594935343724e-07,0.0,0.0
574.0,3.010020331341721,0.0005884361393501071,2.891226032753513e-05,2.332730520584154e-05,1.3056641343250134e-05,-0.0,0.0
585.0,2.9904190621011733,0.0008026688713206048,1.345756410633543e-05,2.257412595257223e-05,1.9324445078877247e-05,-0.0,0.0
596.0,2.957157035241409,0.0008057159464220733,1.3629271524976508e-05,9.687267515485432e-06,1.828427731834007e-05,-0.0,0.0
607.0,2.9337562310478478,0.0008113370143545789,1.4828470452091562e-05,3.922270823208585e-05,1.628070137322952e-05,-0.0,0.0
618.0,2.9028971619516533,0.0008261388111668809,1.3189638702334443e-05,-5.512288106072632e-07,1.606590079184104e-05,-0.0,0.0
629.0,2.8736630666632585,0.0008376340848326038,9.77346694535453e-06,1.4935962880567009e-05,1.4032744562176256e-05,-0.0,0.0
640.0,2.8412800751723473,0.0004673720438746901,3.925908112363438e-05,3.9574846882905875e-05,1.0228134424885834e-05,0.0,0.0
651.0,2.8279131348759323,0.000283040483429138,3.6879790501371336e-05,1.9267515437777767e-05,5.546197861792606e-06,0.0,0.0
662.0,2.8126289783046796,0.000256405275302675,3.462321177282845e-05,8.507666617504117e-06,5.230052702575222e-06,0.0,0.0
673.0,2.802916434339603,0.00027257491053698775,3.841384044404935e-05,1.7441559638799005e-05,6.673895830349434e-06,0.0,0.0
684.0,2.7887704624244356,0.0002446713339695619,3.593214298017118e-05,4.343202944070421e-06,6.4805995212893385e-06,0.0,0.0
695.0,2.77866824778218,0.00025299353059222523,3.6869793367062403e-05,1.646842897385044e-05,5.229635332043796e-06,0.0,0.0
706.0,2.7554737881084947,0.000257888993587372,2.864789340744211e-05,7.721754173007837e-06,6.021033049915302e-06,0.0,0.0
717.0,2.7534263632625158,0.0002515972835288367,3.442486515577338e-05,5.157047769407862e-06,5.724219620279972e-06,0.0,0.0
728.0,2.7350930262653184,0.00023774513315327455,3.424372541044713e-05,7.764013137932032e-06,3.94152053217852e-06,0.0,0.0
739.0,2.730757953902337,0.00023686350173145692,3.313284465203033e-05,1.3996729764957894e-05,3.6971154834580217e-06,0.0,0.0
750.0,2.7151014439766143,0.00021957302014161652,3.2973263034484314e-05,6.229697310956792e-06,3.900891674372476e-06,0.0,0.0
761.0,2.708923940691388,0.0002381555812960049,3.280212860984455e-05,4.975916202991296e-06,3.8265329576561275e-06,0.0,0.0
772.0,2.6953520312170456,0.00020312628961351858,3.155721970566169e-05,1.0607233402318686e-05,3.533992674129462e-06,0.0,0.0
783.0,2.688254456663284,0.0002170017234062627,3.249631629772436e-05,1.41707269475764e-05,3.7807895050080127e-06,0.0,0.0
794.0,2.676191601180336,0.00021621526659949117,3.148163891769845e-05,1.1353567541616035e-05,4.360436045687563e-06,0.0,0.0
805.0,2.6694246444908836,3.9178045335039316e-08,2.1146314478025314e-06,1.6907399563342302e-06,9.958400424284304e-07,0.0,0.0
816.0,2.6634482062648277,7.023492329674266e-06,6.68264728226951e-06,2.5566058989072775e-06,1.2008770721710063e-06,0.0,0.0
827.0,2.663904039830919,1.87901851878673e-05,1.1487708990109841e-05,1.0864799554296826e-06,9.603959166122172e-07,-0.0,0.0
838.0,2.6671296697675384,1.528101648906398e-05,9.825113686959821e-06,3.2165408728172725e-06,9.032482653525743e-07,0.0,0.0
849.0,2.6662798963448666,1.631899324226768e-05,1.0611532563422556e-05,2.643710730889611e-06,1.0484845123828019e-06,0.0,0.0
860.0,2.6694756896630043,2.606945865820378e-05,1.3463429920227082e-05,8.840079733776451e-07,4.6002143055634443e-07,0.0,0.0
871.0,2.6629182719136066,2.5439402112828873e-05,1.0448682396677862e-05,1.0768059777652995e-06,6.167667040692591e-07,0.0,0.0
882.0,2.6719799258957524,2.646563098857664e-05,1.2179328525599558e-05,1.9923642426995805e-06,8.824528747581822e-07,0.0,0.0
893.0,2.669902356448657,2.311808951093881e-05,1.1540248023958555e-05,1.6043154983077382e-06,8.634141040818018e-07,0.0,0.0
904.0,2.6733608209621686,5.479588249327553e-05,1.6993678860057264e-05,6.628549336060674e-08,7.772338791224139e-07,-0.0,0.0
915.0,2.6674754558335003,0.0003034897058625935,4.080137773543622e-05,4.996618272597388e-06,7.743055249699806e-06,-0.0,0.0
926.0,2.6493170716936074,0.00029366125304462087,4.0908951982240436e-05,1.3016874612790896e-05,8.463269769749323e-06,-0.0,0.0
937.0,2.6312556441794936,0.00029215534315742023,3.734756153784175e-05,1.1022197482860489e-05,5.197678480249461e-06,-0.0,0.0
948.0,2.6002294014982494,0.0003041951560672689,3.844647585437086e-05,3.7497591366258185e-06,5.7826533281039545e-06,-0.0,0.0
959.0,2.589868693604966,0.0003036316667274546,3.9733485655356324e-05,1.329909978843593e-05,7.810104689655668e-06,-0.0,0.0
970.0,2.567497660586479,0.0002666183608509878,4.020537208168048e-05,1.0825304665591496e-05,3.7780253262383524e-06,-0.0,0.0
981.0,2.5568444251110356,0.0002576108481250724,4.084366223585111e-05,8.756586006826406e-06,6.023171302882574e-06,-0.0,0.0
992.0,2.547744222904411,0.0002457751697337174,3.787526813712975e-05,5.477007737813718e-06,4.83499791270107e-06,-0.0,0.0
1003.0,2.5351382520109045,0.0009663178173881184,1.0690859433533584e-05,1.1901940309404852e-05,1.8403715455782834e-05,0.0,0.0
1014.0,2.513692413641576,0.0005575337146084197,3.937395946996929e-05,6.072092913470672e-06,7.936436746130453e-06,0.0,0.0
1025.0,2.4973586133653938,0.0005820874075794096,4.132701947468136e-05,6.537249546544598e-06,1.0515269128498746e-05,0.0,0.0
1036.0,2.474097907590495,0.0005542835873880027,3.9249033857709025e-05,1.4461122354749314e-05,1.0842289392769204e-05,0.0,0.0
1047.0,2.458479899248416,0.0005738126919410686,4.120758814946227e-05,8.946750222786974e-06,1.1017142876877047e-05,0.0,0.0
1058.0,2.4351388380923606,0.0005496489406924078,5.05940724125557e-05,1.5214540073389744e-05,8.523385945455898e-06,0.0,0.0
1069.0,2.420446050485113,0.0005727361768685038,4.5635161565774064e-05,1.4236811980223922e-05,9.186025734477402e-06,0.0,0.0
1080.0,2.3968086344433885,0.0005417938323425931,4.568026473942743e-05,1.868506259532675e-05,1.0672446228562534e-05,0.0,0.0
1091.0,2.3832150046455998,0.0005597992212439594,4.0360486175271584e-05,1.2656284793504631e-05,1.0047341219890234e-05,0.0,0.0
1102.0,2.3591129928671464,0.0005359169222528019,4.9979380793821006e-05,7.810462416432292e-06,7.762435747054367e-06,0.0,0.0
1113.0,2.3467518486893835,0.0008692108817986389,3.514202880265918e-05,1.3655356824319655e-05,1.552171487769034e-05,0.0,0.0
1124.0,2.3238247953720426,0.0003276313279497698,3.902784330311275e-05,4.19780450369342e-06,5.555251272356242e-06,-0.0,0.0
1135.0,2.310733972645419,0.00029428324255537677,4.127863884883422e-05,5.042547124383524e-06,3.847428125948683e-06,-0.0,0.0
1146.0,2.2941860901634485,0.00027634790834846933,4.019907317574331e-05,1.1445426501776289e-05,8.142323430243705e-06,-0.0,0.0
1157.0,2.2791347546819614,0.00026699858412897984,3.972407583737101e-05,1.122644886969045e-06,3.646625782799553e-06,-0.0,0.0
1168.0,2.263252419492758,0.0002729473082093541,4.589350974780033e-05,1.2184726446416072e-08,4.70568316261154e-06,-0.0,0.0
1179.0,2.249644019940119,0.000252632468202289,4.5586211520188206e-05,5.547753029539046e-06,4.089224170580935e-06,-0.0,0.0
1190.0,2.234254908170375,0.0002613264787556511,3.727022822735656e-05,2.0823879757416585e-06,4.590923881355628e-06,-0.0,0.0
1201.0,2.211838116041132,0.0002667347056997851,3.997317346087807e-05,9.984071772230184e-06,3.9410984501735015e-06,-0.0,0.0
1212.0,2.200842112970349,0.0008037085228410476,4.110252329428959e-05,1.1078837602563327e-05,9.666190771088756e-06,-0.0,0.0
1223.0,2.1813508880474366,0.0006706245647981738,5.685343584850926e-05,2.0996252918129785e-05,1.1254447352383157e-05,0.0,0.0
1234.0,2.165282998940598,0.0006751573190977187,4.553544473944984e-05,3.966175640779046e-05,1.3413767694535348e-05,0.0,0.0
1245.0,2.1421368899994757,0.0006469393806141744,5.342977169360332e-05,1.3501002975760505e-05,6.404155780597245e-06,0.0,0.0
1256.0,2.127005567087476,0.0006726431809648824,4.91696720425015e-05,1.404862023762172e-05,8.734096881356309e-06,0.0,0.0
1267.0,2.1036935243696813,0.0006402170668436742,4.93488026811312e-05,2.177112914989395e-05,1.021640519867429e-05,0.0,0.0
1278.0,2.0896454519746253,0.0006572410763746374,5.6067889758445304e-05,2.6457696830832858e-05,1.192699720333486e-05,0.0,0.0
1289.0,2.0661603610709456,0.0006333584469489434,5.663554594784996e-05,3.0651164794588716e-05,1.235308814731141e-05,0.0,0.0
1300.0,2.053215256588847,0.0006457392112511602,4.689112332741766e-05,8.38983699941415e-06,8.678375580691107e-06,0.0,0.0
1311.0,2.0293352873168455,0.0006287311003269208,4.850440296350561e-05,1.0497984178817317e-05,7.616932199065124e-06,0.0,0.0
1322.0,2.0173886012301985,0.0009529010849825941,4.316992262273866e-05,7.51231300773328e-05,1.6269065929546097e-05,0.0,0.0
1333.0,1.995518604589323,0.00034477671097167973,4.9079273141071964e-05,-1.0805403656739172e-05,6.2086325672034194e-06,-0.0,0.0
1344.0,1.9827039255283692,0.0002765494151357472,4.1357438482043464e-05,9.238213157036237e-06,3.946502739865534e-06,-0.0,0.0
1355.0,1.9679409334590647,0.0002674953390419367,4.107797485401265e-05,2.779522126794956e-06,3.852325196327358e-06,-0.0,0.0
1366.0,1.9544366285071286,0.00025325355471205434,4.683180284066762e-05,-4.8273190883523345e-06,3.623479427639849e-06,-0.0,0.0
1377.0,1.9398398029971093,0.00025812268176315516,4.432125588835655e-05,-2.9519132566394577e-06,3.5712194832932016e-06,-0.0,0.0
1388.0,1.9203518197098577,0.0002660384060802393,4.7018481567387424e-05,2.405447183213036e-06,4.669749052869272e-06,-0.0,0.0
1399.0,1.9024752987671696,0.00022237029160770215,4.234776542398508e-05,-1.5787255263749197e-06,1.9218674669262154e-06,-0.0,0.0
1410.0,1.8929598494775013,0.00022883033086187432,4.944994327029983e-05,-4.0374876167015696e-07,3.7271216209352264e-06,-0.0,0.0
1421.0,1.8802981198137836,0.00021170621248989038,4.0499224182587316e-05,-8.042214528098496e-07,2.7042728774987977e-06,-0.0,0.0
1432.0,1.868388174086989,0.0007362392527399144,5.656419519400646e-05,-5.10045302754324e-06,1.0319697430131376e-05,-0.0,0.0
1443.0,1.8550612172693404,0.00043737799100109897,5.75380747482205e-05,1.1311165052991074e-05,5.355777860483417e-06,0.0,0.0
1454.0,1.8363915529364854,0.00038855552471091714,5.824908095514648e-05,1.4056173902447407e-05,3.955578683471432e-06,0.0,0.0
1465.0,1.8297738165069009,0.00038749130653303215,5.8558547322770484e-05,2.665275420388719e-05,7.720398465121537e-06,0.0,0.0
1476.0,1.8143034237127755,0.0003515905836314785,5.560070809753052e-05,1.3894758581173687e-05,4.796936708370487e-06,0.0,0.0
1487.0,1.8060124761264633,0.0003602971355816669,5.024768036377029e-05,1.3370498623310107e-05,6.427232864957813e-06,0.0,0.0
1498.0,1.792815186872554,0.00032207712576642043,6.0193553534298683e-05,9.672947266125584e-06,3.850973840524952e-06,0.0,0.0
