,ttime,P,error_P,SV,error_SV,SH,error_SH
35.0,3.5902779887806493,-0.000272336244697136,2.827740820747297e-05,-1.0244593819168048e-05,7.275955715434841e-06,0.0004532774760184721,1.2083127513636776e-05
46.0,3.566272393428102,-0.00024151542669159537,2.797205844406852e-05,-1.849084205726064e-05,6.843692851163592e-06,0.0004612374262748504,1.616602241949371e-05
57.0,3.5520087901845545,-0.00025912201567780023,3.104813703257575e-05,-1.5641184096439846e-05,7.686882917170604e-06,0.00043041032259394894,1.2124521215123746e-05
68.0,3.536361848031986,-0.000524300419770174,2.2147575445390123e-05,-3.83616512954166e-05,1.1876333827114372e-05,0.0003144283730558344,2.1138829412444392e-05
79.0,3.5087216622332065,-0.0006543983673248257,9.114316489385483e-06,-2.258354505228809e-05,1.613397819181394e-05,0.00010092998457425192,3.4992751348773034e-05
90.0,3.4875458210918673,-0.0006552163246947287,1.0258691166332518e-05,-3.5398954464347634e-05,1.7452992196563152e-05,0.000185925080055867,3.562197697706917e-05
101.0,3.4581095248052445,-0.0006595458405111613,8.824537625801983e-06,-6.619322989901327e-06,1.487631066053418e-05,0.0002199831567172249,3.242094294113202e-05
112.0,3.4257876680534216,-0.0006688273478875456,9.332753531664315e-06,-1.9924508453057938e-05,1.746751216537534e-05,0.0002133722990264575,3.3565357011809745e-05
123.0,3.4047375032831897,-0.0006711954973733834,9.472004840075069e-06,-3.932151165667814e-05,2.0399428118717342e-05,0.00012341051474097558,3.9239249925632525e-05
134.0,3.374532388509977,-0.0006828596902554233,8.729342822494407e-06,-1.0205416448979185e-05,1.588804330429324e-05,0.00011499155702494768,3.8998511810653424e-05
145.0,3.345030860276116,-0.0006892775388034804,1.0034977703701178e-05,-4.8036140406344326e-05,1.8835571572762592e-05,0.00013958104430708657,3.8542774219626436e-05
156.0,3.310463177620537,-0.00069858062317689,8.690432337688414e-06,-2.662893200362412e-05,1.6801117733348407e-05,0.00010804001868839887,3.57504933510216e-05
167.0,3.2910552585660255,-0.000700061670933464,1.1084723621187453e-05,-2.0153213493497188e-05,1.893090187598733e-05,0.0001153145827328945,3.311147204616512e-05
178.0,3.2603769529696023,-0.0007016878860754863,1.1825975822146194e-05,-3.5666236077487075e-05,1.8254506147114206e-05,0.0002375358892865394,3.3071421796284995e-05
189.0,3.2410132577936324,-0.0007072146646489811,1.0477110593264059e-05,-1.6281559309911186e-05,1.7242617022569142e-05,0.00016829783945714885,4.244964760214278e-05
200.0,3.221820695862344,-0.0007197712285331377,9.688775240506934e-06,-2.2136686416784665e-05,1.7469960868225645e-05,4.084486765898684e-05,4.535163712393722e-05
211.0,3.1972633682391423,-0.0007351967730611052,6.968305323145754e-06,-1.56133135565387e-05,1.7528886686144293e-05,6.170148592865093e-05,4.1204394587410666e-05
222.0,3.1719334900093266,-8.413970306355354e-05,1.7709302930579983e-05,-8.02523999933675e-06,3.212844775689481e-06,-0.00034135079314097014,3.0064309902888723e-05
233.0,3.1679732629822825,-2.5863539003500124e-05,1.0641203409346953e-05,-1.7659199728310796e-06,9.600871454096702e-07,-7.398748764159709e-05,3.696383013498019e-05
244.0,3.1628035333488684,-2.219243607775034e-05,1.1160025854445568e-05,-2.469620561745874e-06,1.1516380040063472e-06,-0.00020711610612306989,4.3484788336925937e-05
255.0,3.160440948269206,-1.2008705795438191e-05,6.859715471462434e-06,-1.4634868875325385e-06,8.76977311499066e-07,-9.25359951802942e-05,3.9497776426385314e-05
266.0,3.160969210573754,-1.5738617338079996e-05,8.47129951891049e-06,-3.629209972904945e-06,1.5282583624303404e-06,-0.0001306136635126712,4.102095661673046e-05
