,ttime,P,error_P,SV,error_SV,SH,error_SH
35.0,3.5902779887806493,-3.456022163793239e-05,3.896455828031314e-06,0.00011379200011796048,6.146732145599012e-05,0.00030973838619955936,1.379785901768699e-05
46.0,3.566272393428102,-3.093304884221729e-05,3.884738781810794e-06,1.1004612394481022e-05,4.359564800131137e-05,0.0003077377180167468,1.6322423438520477e-05
57.0,3.5520087901845545,-3.25244716170441e-05,4.228726281278125e-06,3.070771627377322e-05,5.289622209631234e-05,0.0003500025869722173,1.3641680530052746e-05
68.0,3.536361848031986,-6.649875517945934e-05,4.757308830729863e-06,0.00011717571436716432,0.00010511696532659768,0.0002515099346336638,2.4319260508987014e-05
79.0,3.5087216622332065,-8.096839452494505e-05,4.226141482099662e-06,0.00011214735106298768,0.0001466408994633432,0.00016023534468559338,2.748871466864139e-05
90.0,3.4875458210918673,-8.204841579154715e-05,4.466722527244739e-06,0.0004993914575625388,0.00015261040608565357,0.0001564724083886119,3.251849985064389e-05
101.0,3.4581095248052445,-7.960863727140738e-05,5.016770532317665e-06,0.0006545863254219013,0.00012891626538526812,6.061931501364062e-05,3.216472865428666e-05
112.0,3.4257876680534216,-8.043771044540307e-05,4.554975519719116e-06,0.00025562219272102897,0.00012885823943016366,7.234526911885448e-05,3.422083813982171e-05
123.0,3.4047375032831897,-8.243920227083948e-05,4.875584241306461e-06,0.00029949710739000566,0.00015867915686592352,0.00014532053164400377,3.640727431342183e-05
134.0,3.374532388509977,-8.063008920794356e-05,5.437637453401735e-06,0.00012677745794286967,0.00016786390359724263,8.140684629072864e-05,3.4203420402861975e-05
145.0,3.345030860276116,-8.060016999102353e-05,5.504858294384037e-06,0.0002271485666758421,0.00014133186898708923,0.0001469686909650027,2.718813313298294e-05
156.0,3.310463177620537,-8.076393322701749e-05,5.496221887093624e-06,9.323544379460238e-05,0.00014982097653400676,0.00016272923015441698,2.934900515542973e-05
167.0,3.2910552585660255,-8.134557652440378e-05,4.730897940343548e-06,0.00027721200797693215,0.00016299281798161787,0.00015295935482096624,3.156328572765708e-05
178.0,3.2603769529696023,-7.957885141052759e-05,4.899112236640587e-06,0.00026458428538101624,0.00013597371964936203,-2.381821334483394e-06,3.533334951390664e-05
189.0,3.2410132577936324,-8.006853625596102e-05,5.708551566055748e-06,0.00023208485780332086,0.00015224064036936763,0.0001355526647561482,2.9697534971108472e-05
200.0,3.221820695862344,-8.196821718516185e-05,5.0918078599704346e-06,0.0001531511366825853,0.0001508002669666858,6.876001965470533e-05,3.803756184020098e-05
211.0,3.1972633682391423,-8.381346434846142e-05,5.501439295871022e-06,0.00010212205493820195,0.00016206719569001094,4.8536905494693946e-05,3.839057253954113e-05
222.0,3.1719334900093266,-9.269799057095695e-06,2.2413107179361373e-06,7.944243623060398e-05,2.567670654386102e-05,-0.000220406191837493,2.8105403394114203e-05
233.0,3.1679732629822825,-2.9032338373147988e-06,1.4529852579152478e-06,2.210862468812703e-05,9.719202467669386e-06,-9.829575011253592e-05,3.040264711761744e-05
244.0,3.1628035333488684,-2.774608814996698e-06,1.3540292641526456e-06,3.5091019934513465e-05,1.4077246006975363e-05,-0.00014629140730300542,2.866317257012291e-05
255.0,3.160440948269206,-1.7021379455244172e-06,1.0273768233308665e-06,2.7932229427013164e-06,3.911934475955615e-06,-4.372664990495121e-05,3.471792061160208e-05
266.0,3.160969210573754,-1.8543395427316123e-06,1.232600672606286e-06,1.9122714919518053e-05,9.338526059470476e-06,-0.00012313671973019437,2.716224838392655e-05
277.0,3.156531490996292,-1.9228775313374357e-06,9.057978028486903e-07,4.4089936787156166e-05,1.6529936653554824e-05,-8.227307955068264e-05,2.7900943264778288e-05
288.0,3.160501673601693,-1.836804811952819e-06,1.063256244327004e-06,8.876248645707954e-06,5.782954458159753e-06,-7.336794554285917e-05,2.3165674685070175e-05
299.0,3.1562997641540744,-1.521680900124829e-06,1.0315055905731704e-06,2.5114598190126865e-05,1.353731917599107e-05,-0.00013564151570358312,2.1342876350688042e-05
310.0,3.1516024716402304,-9.985445995210753e-07,8.843907118798083e-07,1.3808066425707824e-05,9.90152183316835e-06,-9.166928614264191e-05,2.4952611477559746e-05
321.0,3.1578450112677743,-1.309098024556714e-06,7.206898797497144e-07,5.772252873408548e-06,3.844418072275996e-06,-2.1050859865188007e-05,1.840886468939242e-05
332.0,3.151725956678649,-1.1039603518261165e-06,8.615140991497627e-07,1.428885829445353e-05,7.106643065324613e-06,-9.773876449069364e-05,2.036146988884164e-05
343.0,3.1593715726211733,-9.53892464621642e-07,9.701666809964945e-07,1.2966578193135964e-05,8.297559147923985e-06,-5.526388538327816e-05,1.7517795904307187e-05
354.0,3.15690297674938,-2.3176246116214165e-06,1.3525675208180239e-06,1.1208008973566426e-05,5.151150375483068e-06,-1.7855029936155915e-05,1.8338734926871597e-05
365.0,3.1553919632781144,-8.242938767339635e-05,6.027662340749482e-06,4.8402469749747776e-05,0.00016250711833355475,-8.223279863240089e-05,1.2683940105105762e-05
376.0,3.136648693485052,-8.59336353489657e-05,5.773206723609301e-06,0.0003268706259053247,0.00018494428371247472,2.923864836194372e-05,1.314650012410865e-05
387.0,3.1054854810630044,-8.487038973932278e-05,5.060597832325546e-06,0.00012922764808992741,0.00017723445446463145,-8.961828917009062e-06,1.604110255186447e-05
398.0,3.078237278751153,-8.707236664856671e-05,5.957900584697348e-06,0.00010373899197227619,0.00016902031608432265,1.1716646314515798e-05,1.67640211879357e-05
409.0,3.0546033064770635,-8.63275731381644e-05,5.298347629088572e-06,0.0003536249465265895,0.0001631123218326984,3.265027692988068e-05,1.5107310901340513e-05
420.0,3.0257758229175127,-7.969623446043994e-05,5.060691555141829e-06,0.000485809300409287,0.00014810579416222293,0.00011019502133168262,1.570666820809704e-05
431.0,2.9997193494499013,-6.640443035780883e-09,1.8178920543890398e-07,1.93503730794619e-06,1.6531138765310706e-06,-1.4093557210999994e-05,1.7298243956642837e-05
442.0,2.9988227171178456,-5.718897743241776e-07,6.546922700254184e-07,1.2881738139422217e-06,2.9120905171212255e-06,-1.3394496845238618e-06,1.6471010518308896e-05
453.0,2.9970907648617024,-4.812142373761029e-07,6.385698528910141e-07,-6.559163080163236e-07,3.5226677671315966e-06,1.8792246568678282e-05,2.368917409541548e-05
