Channel,RMS_5635,noise_5635,RMS_5636,noise_5636,RMS_5637,noise_5637,RMS_5638,noise_5638,RMS_5639,noise_5639,RMS_5640,noise_5640,RMS_5641,noise_5641,RMS_5642,noise_5642,RMS_5643,noise_5643
58,0.023948142,0.014713625,0.015557003,0.016083961,0.012318881,0.014401925,0.019952745,0.012182332,0.015690075,0.037600985,0.086640483,0.017647117,0.014109446,0.014790954,0.016716403,0.027796754,0.019367406,0.017824546
69,0.010264871,0.012713621,0.009267718,0.00989222,0.015352957,0.01586503,0.030077512,0.007850896,0.009351136,0.040682733,0.054149635,0.009799353,0.009430149,0.010140296,0.012273893,0.017114588,0.009094488,0.009976994
80,0.016453668,0.010922975,0.06041131,0.047241408,0.021813259,0.022776969,0.034894292,0.026379942,0.019134882,0.012842294,0.017271295,0.015080601,0.01028337,0.017130958,0.01645796,0.037862918,0.012143665,0.014777486
91,0.014907021,0.011167768,0.04743635,0.079167572,0.019110695,0.020501001,0.03264795,0.018152795,0.026744276,0.025564905,0.021216392,0.012570626,0.006654075,0.010867158,0.017007359,0.016198647,0.008712839,0.014182043
102,0.015981065,0.015281569,0.043240892,0.057041078,0.061228322,0.021738214,0.024184176,0.027104195,0.026632844,0.014085139,0.012796894,0.011768568,0.007426444,0.012764313,0.04311392,0.017114949,0.013779874,0.013974605
113,0.012429836,0.01213285,0.055066603,0.054457624,0.029303807,0.032789186,0.033575137,0.037850223,0.03631844,0.015061507,0.022618953,0.014754317,0.012025784,0.016434181,0.034956644,0.021535753,0.018175597,0.017018279
124,0.011995456,0.012322688,0.064949193,0.073718242,0.061456072,0.035528238,0.020207662,0.043225807,0.026852533,0.023468968,0.015625095,0.024166857,0.011051378,0.010802133,0.031535432,0.024937325,0.018903727,0.011941914
135,0.005208802,0.008506214,0.051608645,0.056234316,0.015155612,0.031977244,0.015337248,0.033409482,0.013632645,0.011952153,0.00913739,0.01033157,0.007233811,0.007568597,0.015961433,0.010524372,0.006049914,0.008865315
146,0.013085326,0.008522327,0.054193903,0.032719262,0.047070807,0.019301524,0.02658786,0.036727175,0.010300587,0.020364649,0.020713178,0.014474057,0.00543385,0.008505025,0.018193617,0.011557185,0.0055617,0.009929048
157,0.014929257,0.009792586,0.031933681,0.026679022,0.035437003,0.038278115,0.017601498,0.017652593,0.019229476,0.012660064,0.010843839,0.011103657,0.008528749,0.012607655,0.014587212,0.008059956,0.009919834,0.006989408
168,0.003527369,0.006716541,0.017302847,0.010082483,0.035485957,0.015084139,0.008617914,0.00997153,0.012484393,0.016151953,0.007221623,0.008683335,0.00585202,0.006647215,0.009251597,0.010847889,0.005744937,0.005084059
179,0.016040547,0.006366723,0.012492952,0.012299042,0.029320081,0.016251988,0.017445645,0.013535346,0.012724862,0.008801595,0.008127844,0.006772228,0.003459308,0.006530457,0.010649125,0.007696119,0.005737233,0.005270667
190,0.012568126,0.011440534,0.011860138,0.015696172,0.027484166,0.023824375,0.009817634,0.010643487,0.009097796,0.007798673,0.007934433,0.005848944,0.004302195,0.005804124,0.006197519,0.009526433,0.004536097,0.0072235
201,0.012020233,0.010165695,0.013296899,0.014890188,0.013676017,0.012597988,0.011356907,0.003397938,0.004649536,0.004986054,0.00694079,0.007760585,0.003807985,0.004027104,0.004582265,0.007062027,0.003198488,0.003039105
212,0.009392297,0.009927528,0.026787996,0.017213946,0.012213985,0.015080271,0.010946728,0.007822176,0.005769145,0.004982376,0.010349049,0.010953299,0.00252141,0.002693656,0.006793672,0.006669626,0.003577379,0.003399486
223,0.012394642,0.013001069,0.030996459,0.019951907,0.011996586,0.031269504,0.011873851,0.008650287,0.008505448,0.005646769,0.01334025,0.013221994,0.003766083,0.003102663,0.008711515,0.007403974,0.003405652,0.002124523
234,0.008604472,0.011666392,0.017759923,0.013527747,0.017793871,0.026709387,0.010043225,0.008254426,0.006168222,0.008395278,0.010956438,0.012657717,0.003887559,0.002421883,0.007047141,0.009786178,0.004289279,0.003129815
245,0.008582138,0.00914687,0.05399481,0.022556545,0.022778717,0.025998833,0.019143018,0.020313603,0.007190715,0.013447532,0.009823964,0.011003441,0.003292716,0.002154869,0.009184453,0.003758798,0.002637884,0.002661676
256,0.007386185,0.00859096,0.037414147,0.018691465,0.011673809,0.017968582,0.014359589,0.022701327,0.00741108,0.016872064,0.005398526,0.009548907,0.002249567,0.001846003,0.004135557,0.006034411,0.003213498,0.002205109
267,0.008973617,0.008262322,0.016397452,0.017163932,0.014732187,0.01453274,0.008573509,0.014091359,0.004626424,0.007137088,0.004532847,0.007971674,0.001191892,0.001518334,0.00386023,0.006341421,0.003211023,0.001397377
278,0.00907032,0.008029788,0.034173341,0.021380147,0.016883607,0.011679436,0.009786661,0.006670743,0.005824061,0.005117421,0.004303878,0.00811046,0.003194894,0.00275064,0.002972262,0.002818035,0.002820048,0.002573705
289,0.009671116,0.009568328,0.048690373,0.021317407,0.012625948,0.010779666,0.011418578,0.009119412,0.004269101,0.006042708,0.006269505,0.007575151,0.002313081,0.003597208,0.003337861,0.003602695,0.003614546,0.002326553
300,0.010614286,0.008071508,0.039519491,0.020894787,0.014381149,0.005668681,0.012205164,0.015839177,0.007988512,0.011884693,0.004683733,0.006390008,0.002251837,0.003321399,0.005256303,0.004835803,0.002784754,0.002507246
311,0.006699832,0.006166226,0.026346712,0.019845434,0.009873869,0.006169826,0.004724059,0.012372742,0.00431397,0.006449151,0.00600538,0.005065029,0.001889011,0.000990403,0.003815675,0.004056219,0.00216469,0.001489227
322,0.003139086,0.003980719,0.015007058,0.017067357,0.010189737,0.005272233,0.005029154,0.008869706,0.005215725,0.005642901,0.005326868,0.00348119,0.000983553,0.001444366,0.002614577,0.001836171,0.002080959,0.002784008
333,0.005923599,0.002914849,0.027517545,0.016847357,0.011792339,0.007024726,0.006040077,0.006954589,0.003453786,0.003675844,0.004260338,0.005346965,0.001775583,0.001603501,0.002944247,0.003461724,0.001221897,0.003952626
344,0.004804228,0.004190103,0.025307308,0.010958496,0.007090333,0.005219995,0.006403728,0.009155653,0.003619491,0.003240209,0.005256838,0.004525274,0.002359171,0.001553463,0.003194418,0.002912516,0.001784948,0.004870097
355,0.006167038,0.005043915,0.030000774,0.013066997,0.010209835,0.003402137,0.004289506,0.010678933,0.004068804,0.005923576,0.00620542,0.003927915,0.002184539,0.00267584,0.003238232,0.002242402,0.00209125,0.004346709
366,0.007998348,0.004538544,0.033151354,0.012729511,0.010442339,0.007473155,0.005523568,0.018452906,0.004721399,0.008928303,0.005154305,0.004484788,0.001336947,0.002598053,0.004050828,0.003324101,0.00239555,0.003048231
377,0.007010795,0.004139719,0.030212713,0.017549247,0.010775803,0.006802597,0.009324178,0.014669956,0.003190692,0.009779968,0.005706478,0.005945539,0.002658866,0.002122978,0.003741042,0.005795522,0.002345475,0.002310716
388,0.004038213,0.002472735,0.018060651,0.013413993,0.004416408,0.003412048,0.003487642,0.009616581,0.001859972,0.002765444,0.002154387,0.002762347,0.001312414,0.001626566,0.001878534,0.003223796,0.002429976,0.00109853
399,0.003180702,0.004234924,0.003993449,0.00499673,0.00576124,0.005287637,0.002840598,0.00509677,0.004432356,0.003236615,0.003306897,0.004315721,0.002236747,0.003281152,0.002721119,0.003005727,0.004056961,0.002658666
410,0.002477935,0.004061327,0.008205109,0.003178589,0.005556791,0.008359201,0.003287954,0.006111358,0.005746971,0.003302022,0.004601886,0.004899301,0.001627134,0.002224415,0.003888168,0.003107142,0.001434287,0.001906667
421,0.003303578,0.00210315,0.007072148,0.003163618,0.003850724,0.005529451,0.00536357,0.003013044,0.003218928,0.002117075,0.00278447,0.005113361,0.001927312,0.001850262,0.003839207,0.00199167,0.001523821,0.001454685
432,0.003697769,0.002971307,0.003946032,0.00609931,0.004223634,0.005576527,0.005200165,0.003532134,0.003280759,0.003609535,0.003015869,0.004073394,0.001965741,0.001757327,0.003897973,0.00338716,0.001516576,0.002156753
443,0.002765796,0.002879363,0.003161288,0.005661548,0.003247528,0.004736131,0.005136377,0.002194529,0.003577565,0.002449322,0.002233776,0.003846774,0.001843426,0.001227304,0.002974396,0.002129293,0.002142784,0.002120416
454,0.004909379,0.003581635,0.006213431,0.00544243,0.008129142,0.003696136,0.003614044,0.002413063,0.003684733,0.002200526,0.002712731,0.004235737,0.001191021,0.001070022,0.002318146,0.00158768,0.001070113,0.001046688
465,0.002598114,0.002703421,0.004002401,0.007748587,0.009186179,0.005574224,0.00447226,0.002267469,0.004869661,0.003436568,0.004434719,0.004879249,0.001553666,0.00182913,0.003430116,0.003852684,0.001009805,0.001340426
476,0.003005263,0.005973297,0.006397217,0.010665537,0.007811288,0.008091151,0.008429315,0.005850905,0.00673625,0.004291201,0.007755476,0.005645798,0.00149474,0.001685424,0.003838686,0.004004215,0.001894198,0.001228958
487,0.002198017,0.003929652,0.012686678,0.009522582,0.006073402,0.007252608,0.010347966,0.008795718,0.00649594,0.006459037,0.005218243,0.001987835,0.000861874,0.000964024,0.002095573,0.002931128,0.00270371,0.002352672
498,0.002699333,0.001228079,0.009903016,0.006154216,0.005269766,0.007662679,0.01167527,0.008346189,0.006484714,0.007730706,0.005075399,0.003150908,0.001263428,0.001199647,0.002741938,0.002462977,0.001540668,0.001375715
509,0.006298852,0.00323899,0.013344935,0.008717008,0.005246922,0.006916554,0.010950381,0.007193353,0.008611018,0.008605468,0.00432909,0.003827988,0.001217758,0.001722346,0.002111321,0.001054576,0.001951885,0.001691129
520,0.007164913,0.004583542,0.017103646,0.003195489,0.011139483,0.006232325,0.010716689,0.007151583,0.009653516,0.006993951,0.004514198,0.003422611,0.001103848,0.001714214,0.005407771,0.003617646,0.001941386,0.001108803
531,0.008245635,0.008262212,0.016289324,0.005348808,0.014401164,0.009272943,0.008929657,0.007657465,0.005690887,0.006139224,0.006142568,0.005511057,0.001372309,0.001366763,0.003603145,0.00481511,0.002401754,0.001999536
542,0.008920799,0.006314426,0.014280838,0.01086994,0.014204426,0.007979082,0.013994427,0.011820819,0.00413958,0.00487951,0.006512063,0.006314723,0.001040218,0.00141912,0.006157871,0.002559405,0.001285922,0.00136863
553,0.006836812,0.009037973,0.013195507,0.014981604,0.011213581,0.005834009,0.014906783,0.011408743,0.003979967,0.005115279,0.007757431,0.005193809,0.000656214,0.000922425,0.005991578,0.005103071,0.001869435,0.000858998
564,0.009995486,0.007887441,0.024239741,0.013719083,0.010235426,0.004440794,0.013272686,0.01288747,0.006337964,0.008183152,0.008184635,0.004384765,0.001328991,0.001716285,0.004036138,0.006035329,0.002591523,0.001817625
