Distance,lat,lon,Elevation,depth
35,39.79937342,-119.0112874,1225.881455,-1.225881455
46,39.79947107,-119.0113034,1225.796545,-1.225796545
57,39.79956873,-119.0113194,1225.711727,-1.225711727
68,39.79966636,-119.0113352,1225.628182,-1.225628182
79,39.799754,-119.0113,1225.717909,-1.225717909
90,39.79983397,-119.0112252,1225.93,-1.22593
101,39.79991395,-119.0111506,1226.088455,-1.226088455
112,39.79999559,-119.0110738,1226.197545,-1.226197545
123,39.80007814,-119.0109939,1226.367455,-1.226367455
134,39.80015949,-119.0109147,1226.537182,-1.226537182
145,39.80024083,-119.0108355,1226.714364,-1.226714364
156,39.80032219,-119.0107563,1226.893727,-1.226893727
167,39.80040354,-119.0106772,1227.069273,-1.227069273
178,39.80048311,-119.0105997,1227.229364,-1.227229364
189,39.80053018,-119.0105547,1227.308364,-1.227308364
200,39.8005947,-119.0104918,1227.425455,-1.227425455
211,39.80067353,-119.0104144,1227.567091,-1.227567091
222,39.80073837,-119.0103341,1227.748909,-1.227748909
233,39.80070178,-119.0102318,1227.988455,-1.227988455
244,39.80064502,-119.0101252,1228.151,-1.228151
255,39.80058827,-119.0100185,1228.294,-1.228294
266,39.80053152,-119.0099119,1228.486,-1.228486
277,39.80047477,-119.0098053,1228.888818,-1.228888818
288,39.80041801,-119.0096986,1229.239909,-1.229239909
299,39.80036125,-119.009592,1229.332091,-1.229332091
310,39.8003045,-119.0094854,1229.376455,-1.229376455
321,39.80024775,-119.0093787,1229.399455,-1.229399455
332,39.800191,-119.0092721,1229.561727,-1.229561727
343,39.80013423,-119.0091655,1229.779636,-1.229779636
354,39.80007748,-119.0090588,1230.093455,-1.230093455
365,39.80002972,-119.0089542,1230.399545,-1.230399545
376,39.80008147,-119.0088713,1230.570818,-1.230570818
387,39.80016075,-119.0087944,1230.682273,-1.230682273
398,39.80024004,-119.0087176,1230.634909,-1.230634909
409,39.80031933,-119.0086407,1230.412455,-1.230412455
420,39.80039861,-119.0085639,1230.354545,-1.230354545
431,39.80047423,-119.0085167,1231.387364,-1.231387364
442,39.80053295,-119.0086068,1231.283091,-1.231283091
453,39.80058957,-119.0087141,1231.167455,-1.231167455
464,39.80064618,-119.0088213,1230.969818,-1.230969818
475,39.80070274,-119.0089286,1230.683364,-1.230683364
486,39.80075931,-119.0090358,1230.377,-1.230377
497,39.80081592,-119.0091431,1230.031636,-1.230031636
508,39.80087253,-119.0092503,1229.681909,-1.229681909
