distance,angle_from_map,lat,lon,depth
0,104.7053901,50.82258802,4.386886511,-0.1
1,104.7053901,50.82258574,4.386900237,-0.1
2,104.7053901,50.82258345,4.386913964,-0.1
3,108.446952,50.82258096,4.386927594,-0.1
4,108.446952,50.82257812,4.386941056,-0.1
5,108.446952,50.82257527,4.386954518,-0.1
6,112.1893037,50.82257203,4.386967747,-0.1
7,112.1893037,50.82256863,4.386980886,-0.1
8,115.9325757,50.82256519,4.386993994,-0.1
9,115.9325757,50.82256125,4.387006756,-0.1
10,115.9325757,50.82255732,4.387019517,-0.1
11,119.6768828,50.82255316,4.387032085,-0.1
12,119.6768828,50.8225487,4.387044414,-0.1
13,119.6768828,50.82254425,4.387056743,-0.1
14,123.4223223,50.82253939,4.387068679,-0.1
15,123.4223223,50.82253444,4.387080522,-0.1
16,127.1689724,50.8225294,4.387092273,-0.1
17,127.1689724,50.82252397,4.38710358,-0.1
18,127.1689724,50.82251854,4.387114886,-0.1
19,130.9168906,50.82251286,4.38712588,-0.1
20,130.9168906,50.82250697,4.387136602,-0.1
21,130.9168906,50.82250108,4.387147324,-0.1
22,134.6661129,50.8224948,4.387157479,-0.1
23,134.6661129,50.82248848,4.38716757,-0.1
24,138.416653,50.82248205,4.387177483,-0.1
25,138.416653,50.82247533,4.3871869,-0.1
26,138.416653,50.8224686,4.387196317,-0.1
27,142.168502,50.82246164,4.387205284,-0.1
28,142.168502,50.82245454,4.387213986,-0.1
29,142.168502,50.82244744,4.387222688,-0.1
30,145.9216288,50.82243999,4.387230642,-0.1
31,145.9216288,50.82243255,4.387238591,-0.1
32,149.6759802,50.82242499,4.387246258,-0.1
33,149.6759802,50.82241723,4.38725342,-0.1
34,149.6759802,50.82240946,4.387260582,-0.1
35,153.4314819,50.8224015,4.387267152,-0.1
36,153.4314819,50.82239346,4.387273496,-0.1
37,157.18804,50.8223854,4.387279764,-0.1
38,157.18804,50.82237711,4.387285263,-0.1
39,157.18804,50.82236882,4.387290762,-0.1
40,160.9455422,50.82236044,4.387295863,-0.1
41,160.9455422,50.82235194,4.387300492,-0.1
42,160.9455422,50.82234344,4.387305122,-0.1
43,164.7038599,50.8223348,4.387309018,-0.1
44,164.7038599,50.82232613,4.387312759,-0.1
45,168.4628505,50.82231743,4.387316325,-0.1
46,168.4628505,50.82230862,4.38731916,-0.1
47,168.4628505,50.82229981,4.387321995,-0.1
48,172.2223596,50.82229095,4.387324316,-0.1
49,172.2223596,50.82228204,4.387326233,-0.1
50,172.2223596,50.82227314,4.38732815,-0.1
51,175.9822238,50.82226417,4.387329208,-0.1
52,175.9822238,50.8222552,4.387330198,-0.1
53,179.7422738,50.82224623,4.387330914,-0.1
54,179.7422738,50.82223724,4.387330974,-0.1
55,179.7422738,50.82222825,4.387331035,-0.1
56,183.502337,50.82221927,4.387330478,-0.1
57,183.502337,50.8222103,4.387329607,-0.1
58,187.2622403,50.82220133,4.387328708,-0.1
59,187.2622403,50.82219241,4.38732691,-0.1
60,187.2622403,50.8221835,4.387325113,-0.1
61,191.0218139,50.82217462,4.387322949,-0.1
62,191.0218139,50.82216579,4.387320232,-0.1
63,191.0218139,50.82215697,4.387317515,-0.1
64,194.7808933,50.82214825,4.387314103,-0.1
65,194.7808933,50.82213956,4.387310479,-0.1
66,198.5393229,50.82213089,4.387306736,-0.1
67,198.5393229,50.82212236,4.38730222,-0.1
68,198.5393229,50.82211384,4.387297704,-0.1
69,202.2969583,50.82210542,4.387292752,-0.1
70,202.2969583,50.82209711,4.387287364,-0.1
71,202.2969583,50.82208879,4.387281976,-0.1
72,206.0536688,50.82208068,4.387275852,-0.1
73,206.0536688,50.82207261,4.387269616,-0.1
74,209.80934,50.8220646,4.387263187,-0.1
75,209.80934,50.8220568,4.387256129,-0.1
76,209.80934,50.822049,4.387249071,-0.1
77,213.5638751,50.82204139,4.387241538,-0.1
78,213.5638751,50.8220339,4.387233689,-0.1
79,213.5638751,50.82202641,4.38722584,-0.1
