depth[km],dep,Vp,Vs,Qs
-1.225,0,1.0293,0.3645,45
-1.125,0.1,1.1648,0.4224,49
-1.105,0.12,1.1751,0.4282,49.8
-1.085,0.14,1.1854,0.434,50.6
-1.065,0.16,1.1958,0.4398,51.4
-1.045,0.18,1.2061,0.4457,52.2
-1.025,0.2,1.2164,0.4516,53
-0.975,0.25,1.2436,0.467,55
-0.925,0.3,1.2853,0.4881,65
-0.875,0.35,1.402,0.5385,75
-0.825,0.4,1.5187,0.5898,85
-0.775,0.45,1.5392,0.6043,95
-0.725,0.5,1.5596,0.619,105
-0.625,0.6,1.5741,0.635,105.1342
-0.525,0.7,1.8006,0.7381,105.2684
-0.425,0.8,1.8774,0.7818,105.4025
-0.325,0.9,1.9097,0.8077,105.5367
-0.225,1,1.9738,0.8477,105.6709
0.275,1.5,2.9271,1.3524,106.3418
0.775,2,4.4941,2.2228,107.0127
1.275,2.5,4.7494,2.4028,107.6835
1.775,3,5.0047,2.5886,108.3544
2.275,3.5,5.26,2.7802,109.0253
2.775,4,5.5153,2.9775,109.6962
3.275,4.5,5.7706,3.1807,110.3671
3.775,5,6.0259,3.3896,111.038
4.775,6,6.0377,3.403,112.3797
5.775,7,6.0496,3.4165,113.7215
6.775,8,6.0614,3.43,115.0633
7.775,9,6.0732,3.4435,116.4051
8.775,10,6.0851,3.457,117.7468
18.775,20,6.2034,3.5939,131.1646
38.775,40,6.44,3.8756,158
