,channel,peak_time,peak_value,peak_width,status,RMS,RMS_error
0,0,6049.0,0.07155032455921173,133.0,measured,14.23922184199655,0.4505875133004428
1,1,6049.0,0.012277438305318356,164.0,measured,31.48301043643169,1.8025614159594496
2,2,6017.0,0.02037452906370163,362.0,measured,3.0786008345300564,0.39972836659771793
3,3,5985.0,0.02907414175570011,276.0,measured,0.05264641717878768,0.0028317692695515933
4,4,6049.0,0.01441224291920662,375.0,measured,0.02627654421905185,0.007060195910575855
5,5,6049.0,0.022324921563267708,98.0,measured,0.04973708783167906,0.002143276096200852
6,6,6045.0,0.429169237613678,79.0,measured,0.04290462513772014,0.0007826799822679207
7,7,6049.0,0.36540478467941284,63.0,measured,0.02743869390526159,0.0012109179601671146
8,8,6049.0,0.16005222499370575,71.0,measured,0.02453581409936938,0.0016756014203447255
9,9,6017.0,0.4556679427623749,65.0,measured,0.019099240509167288,0.0014697057188718797
10,10,6026.0,0.3446771204471588,76.0,measured,0.011353584136864225,0.0005975006343056517
11,11,6017.0,0.41854867339134216,70.0,measured,0.014457969246190739,0.0010492198270648254
12,12,6014.0,0.3395048975944519,74.0,measured,0.011513457973468689,0.00037546564793995837
13,13,6005.0,0.5243809223175049,67.0,measured,0.008309360327716953,0.00011024117932195933
14,14,6010.0,0.6587426662445068,62.0,measured,0.022901745455990965,0.001731526490004712
15,15,6015.0,0.7221617698669434,63.0,measured,0.03383740674831064,0.0022056384501913822
16,16,6023.0,0.6300029158592224,68.0,measured,0.009996417250242568,0.0012033707239627817
17,17,6021.0,0.6233730912208557,70.0,measured,0.023837281873892065,0.00040561988252811506
18,18,6017.0,0.49395519495010376,77.0,measured,0.028116842602242807,0.0006251737493610101
19,19,5985.0,0.25316157937049866,85.0,measured,0.018165648866396003,0.0007687648972643951
20,20,5985.0,0.09224829077720642,66.0,measured,0.012361568929012128,0.0002751384763702555
21,21,5985.0,0.15494562685489655,87.0,measured,0.02108552412808844,0.0003595134675658039
22,22,6017.0,0.4942645728588104,73.0,measured,0.01556409399651635,0.0002913958497672436
23,23,6017.0,0.3479748070240021,75.0,measured,0.008907933588822808,0.0007068946531907654
24,24,6033.0,0.3555417060852051,78.0,measured,0.022679731900270582,0.002016082338090725
25,25,6039.0,0.3365034759044647,82.0,measured,0.016423465084577406,0.0025108967112008355
26,26,6039.0,0.23178236186504364,84.0,measured,0.017163735964921725,0.004295842338336308
27,27,6033.0,0.2132549285888672,85.0,measured,0.009245280665574562,0.0004288315250551256
28,28,6039.0,0.32718002796173096,80.0,measured,0.08825182414354299,0.002640015670768917
29,29,6030.0,0.317768931388855,79.0,measured,0.1234337332717264,0.009883939234890038
30,30,6016.0,0.33859431743621826,73.0,measured,0.10252536682197873,0.005702160742621565
31,31,6017.0,0.42792627215385437,76.0,measured,0.07682801654031789,0.0011103417530091036
32,32,6017.0,0.20715034008026123,80.0,measured,0.13173710909466765,0.00856160324648887
33,33,6081.0,0.13797040283679962,103.0,measured,0.09296675835351534,0.008406311403951922
34,34,6113.0,0.06677486002445221,91.0,measured,0.06225745536678597,0.003697349618303257
35,35,6049.0,0.013686541467905045,117.0,measured,0.018050048312974184,0.0006958576036006947
36,36,6017.0,0.058798953890800476,108.0,measured,0.008054655108227648,0.0005344974501407237
37,37,6029.0,0.2617780864238739,75.0,measured,0.008896010908211304,0.0009707677500491326
38,38,6009.0,0.43185725808143616,76.0,measured,0.012380782873790776,0.0001586766836178129
39,39,6009.0,0.41496217250823975,82.0,measured,0.018283664804139114,0.002091655062016802
40,40,6027.0,0.4042077660560608,84.0,measured,0.08568080566824614,0.003961244316332394
41,41,6029.0,0.6155380606651306,73.0,measured,0.18622209590141975,0.018967176485862134
42,42,6019.0,0.6051377058029175,72.0,measured,0.26479044303652427,0.006225962762182733
43,43,6011.0,0.5226953625679016,70.0,measured,0.2497466927888502,0.0227297481783098
44,44,6020.0,0.1754058450460434,104.0,measured,0.20403126855806172,0.01851691922283048
45,45,6017.0,0.10641162842512131,78.0,measured,0.11672093405005471,0.003617762831644056
46,46,6029.0,0.194711372256279,81.0,measured,0.10666156216511447,0.002137129061164001
47,47,6040.0,0.6579681634902954,65.0,measured,0.13824398098823504,0.0035525950440723495
48,48,6031.0,0.725577712059021,60.0,measured,0.27541026418357323,0.029871233421749573
49,49,6024.0,0.7617153525352478,59.0,measured,0.21417072712718446,0.02587398342080875
50,50,6045.0,0.41529905796051025,58.0,measured,0.22507446784086887,0.013833541085876389
51,51,6049.0,0.06494995951652527,69.0,measured,0.19198132202690107,0.0066361311314108605
52,52,6033.0,0.08823181688785553,63.0,measured,0.2960311748961218,0.010767400487928742
53,53,6045.0,0.07694647461175919,71.0,measured,0.14607217947480539,0.012408348821112929
54,54,6033.0,0.4402712881565094,66.0,measured,0.25272363594807473,0.04469877017115214
55,55,6015.0,0.47405070066452026,67.0,measured,0.2519797556199603,0.004685495519227743
56,56,6017.0,0.4405880868434906,69.0,measured,0.33473691683797585,0.008253282354232191
57,57,6025.0,0.3199780285358429,69.0,measured,0.5809566365910822,0.02665975869257229
58,58,6065.0,0.22067385911941528,72.0,measured,0.6309107225893499,0.00672801880720471
59,59,6089.0,0.04491496831178665,102.0,measured,0.415746917616015,0.00888092033928519
60,60,6121.0,0.019113171845674515,115.0,measured,0.21525139852228878,0.026780259495389685
61,61,6073.0,0.11585079878568649,64.0,measured,0.17858602044076008,0.0060320010428697906
62,62,6065.0,0.3307945728302002,70.0,measured,0.16345926432467084,0.004900555291545398
63,63,6065.0,0.34145087003707886,75.0,measured,0.19813209677749555,0.009220178869141447
64,64,6072.0,0.16316206753253937,86.0,measured,0.3510860081403062,0.015375108382118512
65,65,6089.0,0.0819622054696083,81.0,measured,0.4824732611539468,0.021482357568717903
66,66,6081.0,0.21735554933547974,76.0,measured,0.7458981578449452,0.016359125974959688
67,67,6093.0,0.11887151747941971,64.0,measured,0.9666301313075257,0.047148926984886146
68,68,6094.0,0.12164213508367538,72.0,measured,0.8682678022541319,0.06902467844329198
69,69,6114.0,0.09049626439809799,101.0,measured,0.6283642163670256,0.07367380985505902
70,70,6096.0,0.04434722661972046,133.0,measured,0.6742222625565004,0.02114639976687123
71,71,6049.0,0.030165674164891243,129.0,measured,0.5343499179646551,0.008597095927045344
72,72,6017.0,0.021764250472187996,138.0,measured,0.48751911298389616,0.04561079659578578
73,73,6070.0,0.020291607826948166,182.0,measured,0.5677204554318844,0.02517432189421391
74,74,6089.0,0.018257537856698036,199.0,measured,0.6425553301262658,0.04630087423663538
75,75,6049.0,0.042737413197755814,207.0,measured,0.7407362080859552,0.04973402527007844
76,76,6049.0,0.07257915288209915,158.0,measured,1.092165697142559,0.06564099627118185
77,77,6100.0,0.07890760153532028,155.0,measured,0.9105787965267457,0.018656640914963038
78,78,6049.0,0.014303316362202168,174.0,measured,0.5109294240840625,0.030852603588022165
79,79,6017.0,0.012517212890088558,172.0,measured,0.3266509650621724,0.027558332107451455
80,80,5985.0,0.03980056196451187,73.0,measured,0.3802345265777129,0.01360051387565846
81,81,5889.0,0.011071115732192993,324.0,measured,0.26417698413346463,0.02090808543053378
82,82,6097.0,0.014028456062078476,107.0,measured,0.5723931110505988,0.0234276889200609
83,83,6072.0,0.015878425911068916,144.0,measured,0.5709347958361494,0.06317119917046533
84,84,6048.0,0.3569197654724121,83.0,measured,0.5036237462814741,0.029743116879472033
85,85,6049.0,0.07081218808889389,112.0,measured,0.5601161917166407,0.030813310256492678
86,86,6091.0,0.02099127508699894,141.0,measured,0.6152695513235248,0.05512456156862258
87,87,6096.0,0.03230513259768486,150.0,measured,0.5721059613446038,0.030155401158396287
88,88,6049.0,0.021795617416501045,183.0,measured,0.5143919812265504,0.02521023167933629
89,89,6049.0,0.03346986696124077,151.0,measured,0.6734310208654892,0.033852562762898976
90,90,6096.0,0.0452008955180645,130.0,measured,0.9406305114465122,0.03195480242891755
91,91,6096.0,0.03340775892138481,143.0,measured,1.2191665268385024,0.07323742221172631
92,92,6049.0,0.03405173122882843,130.0,measured,1.217399119538189,0.053219451002195065
93,93,6049.0,0.03492340072989464,121.0,measured,0.7627421241577146,0.025386807095422886
94,94,6017.0,0.06184447929263115,130.0,measured,0.7151701941131996,0.08967043579034951
95,95,6049.0,0.12825711071491241,89.0,measured,0.7875807173992381,0.0188508431883842
96,96,6049.0,0.020750954747200012,201.0,measured,1.0232576970571698,0.07523467747538512
97,97,6017.0,0.024300461634993553,168.0,measured,1.3212929379966818,0.2467510999259728
98,98,6017.0,0.036101799458265305,164.0,measured,0.7758218917518898,0.07780454329276895
99,99,6017.0,0.04816219583153725,161.0,measured,0.5681860111931454,0.018888045975484147
100,100,6049.0,0.0589272566139698,156.0,measured,0.4806612753652412,0.022508115336346453
101,101,6017.0,0.043066829442977905,133.0,measured,0.7719539407427797,0.05673197888555824
102,102,6049.0,0.046530582010746,121.0,measured,0.8338553010664927,0.061961161959459506
103,103,6049.0,0.04351956769824028,152.0,measured,0.9393279055675025,0.12909863271523075
104,104,6049.0,0.034711986780166626,120.0,measured,0.8921127830389155,0.1402365616201328
105,105,6049.0,0.029330754652619362,93.0,measured,1.2652133998386113,0.11221334609776636
106,106,6025.0,0.016597621142864227,193.0,measured,1.2353653265042666,0.06867853012530631
107,107,6033.0,0.023913893848657608,157.0,measured,1.3034133348239403,0.055896353276272966
108,108,6025.0,0.029588941484689713,155.0,measured,1.4028260436756772,0.05717907306327484
109,109,6017.0,0.019498903304338455,135.0,measured,1.0780300361392596,0.04759309789739878
110,110,6033.0,0.01541716605424881,108.0,measured,0.7685878209664915,0.04884263935129721
111,111,6033.0,0.015162644907832146,138.0,measured,0.7995402637886422,0.05668846454678034
112,112,6118.0,0.010565078817307949,118.0,measured,1.2030672186987708,0.10684485138695128
113,113,6098.0,0.018003851175308228,162.0,measured,1.625359133713587,0.09264107075256582
114,114,6097.0,0.019660789519548416,65.0,measured,1.7037328528977802,0.0850328071162467
115,115,6097.0,0.03866688534617424,64.0,measured,1.5878662813890372,0.13069395087557248
116,116,6081.0,0.013397984206676483,70.0,measured,0.8088204445589616,0.09007249926233235
117,117,6097.0,0.018506241962313652,70.0,measured,0.6882103074959832,0.04889815486529032
118,118,6113.0,0.010233237408101559,112.0,measured,0.8320019595783339,0.05686713716112744
119,119,6049.0,0.012835724279284477,144.0,measured,0.9516492355488159,0.1321450723942155
120,120,6017.0,0.0866318941116333,126.0,measured,0.32537109417245236,0.017295121063124762
121,121,6049.0,0.04630032181739807,163.0,measured,0.26706332300078506,0.028535255754548176
122,122,6048.0,0.06808586418628693,132.0,measured,0.27771811395281104,0.013860644046202115
123,123,6081.0,0.07987390458583832,115.0,measured,0.33150437519632847,0.01020262314455977
124,124,5985.0,0.054326530545949936,157.0,measured,0.24551103382091655,0.019782637196715868
125,125,5985.0,0.12492261826992035,105.0,measured,0.23718179851476007,0.01639410214739291
126,126,5985.0,0.08875641971826553,97.0,measured,0.2181131183128944,0.004584515185275863
127,127,5985.0,0.03193843737244606,121.0,measured,0.22319324349060146,0.0034928642573192102
128,128,6017.0,0.06057259812951088,98.0,measured,0.25652342349846435,0.010325012858810404
129,129,6006.0,0.05402801185846329,118.0,measured,0.24249067273432667,0.018352959395978488
130,130,6046.0,0.01953316479921341,136.0,measured,0.196042137587044,0.010903671990037271
131,131,6049.0,0.013679109513759613,162.0,measured,0.2405064185677996,0.007211778086898264
132,132,5985.0,0.026810189709067345,115.0,measured,0.2601019310863774,0.007438294385717432
133,133,5921.0,0.021930424496531487,136.0,measured,0.44578171952369366,0.06599486874618161
134,134,6015.0,0.014369032345712185,117.0,measured,0.3692981651425486,0.057283039949085075
135,135,6049.0,0.011638927273452282,127.0,measured,0.40396842761645757,0.017138996236652663
136,136,6046.0,0.029216507449746132,102.0,measured,0.43305021360731094,0.021167296910061112
137,137,6049.0,0.040806904435157776,75.0,measured,0.45742645194095516,0.01676199826434509
138,138,6065.0,0.08764107525348663,66.0,measured,0.48841874345094605,0.027459750994228326
139,139,6065.0,0.18450644612312317,67.0,measured,0.4852772754176042,0.02502167471681087
140,140,6061.0,0.10247795283794403,73.0,measured,0.6253015744909844,0.021775656365138944
141,141,6049.0,0.06130165606737137,77.0,measured,0.7684773330386738,0.016992003426074147
142,142,6057.0,0.07892590016126633,74.0,measured,1.0250679063363155,0.028039028146125754
143,143,6049.0,0.1348329782485962,73.0,measured,1.181728055208962,0.027969971183576525
144,144,6049.0,0.0979805439710617,68.0,measured,0.9735364359182654,0.025366174448864715
145,145,6049.0,0.09277539700269699,72.0,measured,0.6325108637324355,0.01672102723714605
146,146,6065.0,0.09636572748422623,68.0,measured,0.4374225353481252,0.015241921474620446
147,147,6060.0,0.18654915690422058,65.0,measured,0.39500547356774873,0.010819780372945615
148,148,6073.0,0.4336295425891876,58.0,measured,0.45864000038425223,0.01782097113216513
149,149,6049.0,0.21107783913612366,67.0,measured,0.4768594632003556,0.025942605219109686
150,150,6049.0,0.12475579977035522,68.0,measured,0.4552449339292768,0.031033527856440438
151,151,6049.0,0.04481681436300278,83.0,measured,0.42143866969219945,0.028112094461620007
152,152,6049.0,0.049312714487314224,71.0,measured,0.3668183299670118,0.018865033911251595
153,153,6049.0,0.052034150809049606,72.0,measured,0.25803709347987003,0.011702844654013745
154,154,6049.0,0.07902497798204422,66.0,measured,0.34072055486714153,0.012668179961066903
155,155,6057.0,0.11028091609477997,58.0,measured,0.48897076749695745,0.011035547173076145
156,156,6065.0,0.06041901558637619,64.0,measured,0.547264628011656,0.021885665226289423
157,157,6049.0,0.10349506884813309,63.0,measured,0.884336794778297,0.04636480889958716
158,158,6049.0,0.01799268275499344,126.0,measured,1.261507755007065,0.04970218686722435
159,159,6082.0,0.01095813512802124,124.0,measured,1.0985183875700573,0.09797770135427912
160,160,6062.0,0.023890703916549683,96.0,measured,1.300976217315914,0.06301712692940124
161,161,6062.0,0.02206600457429886,96.0,measured,0.8132494338568051,0.03243664994641268
162,162,6062.0,0.011174284853041172,121.0,measured,0.8004606331420017,0.02459802990153403
163,163,6049.0,0.02477101795375347,108.0,measured,0.7812048740503917,0.03373647715386809
164,164,6065.0,0.056549396365880966,89.0,measured,0.623080492745861,0.013559501623174642
165,165,6069.0,0.11687713861465454,73.0,measured,0.5096270064663181,0.017583872877267783
166,166,6073.0,0.040930360555648804,81.0,measured,0.41843482669893367,0.009713974569294114
167,167,6073.0,0.026500841602683067,109.0,measured,0.4101475623753677,0.012369458883165102
168,168,6065.0,0.03633127734065056,118.0,measured,0.36202947755013065,0.014451430430499755
169,169,6061.0,0.030557800084352493,123.0,measured,0.3979973024791913,0.03456816445947625
170,170,6049.0,0.028489813208580017,141.0,measured,0.41081617820859523,0.02821649277160807
171,171,6049.0,0.03681309521198273,102.0,measured,0.44617708940367534,0.023293403663905303
172,172,6049.0,0.014189030975103378,109.0,measured,0.5881045102993155,0.021876016013200984
173,173,6065.0,0.020776061341166496,105.0,measured,0.5305558178321209,0.015470898625058028
174,174,6049.0,0.0600711964070797,145.0,measured,0.5110967547152314,0.027940449166632735
175,175,6049.0,0.03482741490006447,157.0,measured,0.37647191932020635,0.015259322193990664
176,176,6049.0,0.0539250485599041,122.0,measured,0.22695642941189959,0.006308491883816595
177,177,6049.0,0.018089545890688896,160.0,measured,0.20056147936554794,0.005012580214642961
178,178,6033.0,0.014211758971214294,188.0,measured,0.2042759475966023,0.00952739590918534
179,179,6017.0,0.015353926457464695,162.0,measured,0.3159814994225744,0.033940031693454394
180,180,6017.0,0.019011378288269043,142.0,measured,0.3710237564050718,0.0384499199193814
181,181,6009.0,0.024641016498208046,185.0,measured,0.3874950800472023,0.04698837976396616
182,182,6017.0,0.031195806339383125,172.0,measured,0.3714806179943586,0.05225140790740944
183,183,6049.0,0.024708062410354614,163.0,measured,0.45582755160977934,0.015411855820609215
184,184,6096.0,0.05229075253009796,119.0,measured,0.6082073058824905,0.010966288181236064
185,185,6096.0,0.07462877780199051,88.0,measured,0.6450936352554879,0.0073336621062242415
186,186,6096.0,0.13509181141853333,103.0,measured,0.7128162287765966,0.005949477384937733
187,187,6049.0,0.0670655369758606,120.0,measured,0.5909550905264002,0.020078954193275947
188,188,6049.0,0.022784627974033356,121.0,measured,0.42430056536835864,0.03617399816449002
189,189,6049.0,0.033658936619758606,96.0,measured,0.3308958143423842,0.04401945977602183
190,190,6049.0,0.010123003274202347,113.0,measured,0.39201648680097473,0.059157495079141025
191,191,6049.0,0.019589779898524284,113.0,measured,0.3822457839068447,0.06844674482459179
192,192,6082.0,0.02656729146838188,118.0,measured,0.5572040332958528,0.05958745059777113
193,193,6078.0,0.03763860836625099,82.0,measured,0.49499393674769565,0.06141650358507484
194,194,6082.0,0.0433943048119545,85.0,measured,0.5663692607713133,0.04599197212957579
195,195,6078.0,0.08892114460468292,72.0,measured,0.5031451602275732,0.04556655261415689
196,196,6049.0,0.12134745717048645,72.0,measured,0.30010347266885706,0.04916993335303801
197,197,6017.0,0.17614059150218964,74.0,measured,0.13011709160353646,0.006422235278101287
198,198,6017.0,0.09741336852312088,76.0,measured,0.3027271762295793,0.00509952710893039
199,199,6017.0,0.024560192599892616,80.0,measured,0.41367663350776096,0.03132463333355922
200,200,6049.0,0.03638410568237305,86.0,measured,0.3904731330889838,0.033139088075793764
201,201,6078.0,0.011696062982082367,112.0,measured,0.3398366909411198,0.016565327534560668
202,202,6081.0,0.01955907605588436,81.0,measured,0.3956661368204154,0.020626303936675482
203,203,6049.0,0.021476443856954575,113.0,measured,0.4587311016158517,0.09145951946212956
204,204,6065.0,0.03218809887766838,111.0,measured,0.3696321995919667,0.053633056793973906
205,205,6081.0,0.03675422817468643,77.0,measured,0.3741085686766072,0.032282900527201557
206,206,6085.0,0.04619075730443001,72.0,measured,0.5036625003241574,0.01903630512443042
207,207,6069.0,0.1064973697066307,78.0,measured,0.5843687733205377,0.05483699218480779
208,208,6049.0,0.14992545545101166,90.0,measured,0.9734187564634975,0.08732047811503388
209,209,6049.0,0.028842391446232796,123.0,measured,1.0299132677891731,0.11595998458405218
210,210,6094.0,0.026589682325720787,102.0,measured,0.8488842632904364,0.030132856859021402
211,211,6081.0,0.010927768424153328,82.0,measured,0.7317602385799329,0.015319085927829846
212,212,6097.0,0.01847519539296627,95.0,measured,0.738596909505492,0.031974568494421894
213,213,5985.0,0.025248955935239792,102.0,measured,0.869391453627339,0.03366386014830967
214,214,6017.0,0.016776150092482567,101.0,measured,0.6966318821675215,0.04427304406988783
215,215,6017.0,0.022494150325655937,94.0,measured,0.5717050025567882,0.022361152099982632
216,216,6017.0,0.011142631061375141,109.0,measured,0.6898490714721041,0.018117596606400006
217,217,6081.0,0.019904136657714844,130.0,measured,0.625550824482593,0.025572647047870517
218,218,5985.0,0.01854671724140644,241.0,measured,1.015362908922708,0.0781700362084687
219,219,6049.0,0.04560305178165436,116.0,measured,0.6686594637228802,0.049842890485759406
220,220,6049.0,0.08192130923271179,92.0,measured,0.5399794473326764,0.034576624207108504
221,221,6049.0,0.05480395257472992,115.0,measured,0.4159604756370328,0.025057874706218477
222,222,6049.0,0.04791012033820152,107.0,measured,0.4047627578288614,0.019714787035294754
223,223,6017.0,0.05971108004450798,114.0,measured,0.5718756058820266,0.03410653755250515
224,224,6017.0,0.11554142832756042,89.0,measured,0.6713663377616613,0.009843423604517504
225,225,5985.0,0.07085110247135162,91.0,measured,0.7354427307296961,0.020689722835728442
226,226,6049.0,0.01820327714085579,93.0,measured,0.8805398846299218,0.0655269039419794
227,227,6017.0,0.04859405383467674,93.0,measured,0.8061376511734359,0.03934072249850245
228,228,6049.0,0.047159627079963684,89.0,measured,0.7698213237721387,0.05305186725305194
229,229,6049.0,0.12599830329418182,79.0,measured,0.5296835789984896,0.030414516323356126
230,230,6049.0,0.08444494009017944,83.0,measured,0.5015914285143901,0.030221954117809997
231,231,6006.0,0.0946129783987999,80.0,measured,0.42750527032371677,0.03290529287954886
232,232,6014.0,0.11980928480625153,69.0,measured,0.41564109099711105,0.0206339554720775
233,233,6017.0,0.06744235754013062,74.0,measured,0.3272356623540213,0.006838814303657357
234,234,6049.0,0.0589914433658123,80.0,measured,0.4737097926455125,0.0438418766668887
235,235,6017.0,0.11961376667022705,70.0,measured,0.27630204450343965,0.01618680172184125
236,236,6017.0,0.13967761397361755,73.0,measured,0.29893923921806964,0.020741997660805915
237,237,6049.0,0.19778424501419067,71.0,measured,0.5148922998201643,0.028642166674482324
238,238,6040.0,0.058943018317222595,87.0,measured,0.44042870090211766,0.014046841232054283
239,239,6017.0,0.012464671395719051,103.0,measured,0.41426498616020924,0.01504725478504415
240,240,6049.0,0.015657687559723854,117.0,measured,0.4585926459706512,0.02227939585758985
241,241,6017.0,0.05970105901360512,109.0,measured,0.41036346925475414,0.011413292042891777
242,242,6001.0,0.10360324382781982,94.0,measured,0.4669608875706517,0.021829339266313603
243,243,6017.0,0.1079234778881073,103.0,measured,0.5177969824716879,0.03475094475427007
244,244,6057.0,0.04455282911658287,114.0,measured,0.3604683201821575,0.02394955051211717
245,245,6049.0,0.020833006128668785,130.0,measured,0.46105726445583334,0.04984807217781904
246,246,5969.0,0.01041299570351839,151.0,measured,0.8293941976017838,0.10986277852518832
247,247,5953.0,0.02895713597536087,115.0,measured,0.7998090197744743,0.03735497878075531
248,248,5984.0,0.021729279309511185,126.0,measured,0.4948083389789673,0.08384974326078763
249,249,5985.0,0.030789874494075775,107.0,measured,0.340140468005098,0.043875017293170275
250,250,5953.0,0.03296803683042526,113.0,measured,0.3466273808493069,0.014296927849172688
251,251,5977.0,0.057272858917713165,85.0,measured,0.2229639710000436,0.018407832687985074
252,252,5977.0,0.04399944096803665,88.0,measured,0.21892997415976442,0.009654068232699726
253,253,5985.0,0.05476149916648865,81.0,measured,0.1988556291241949,0.003144881251561802
254,254,5977.0,0.03679889440536499,92.0,measured,0.1957227895787446,0.006202232065104516
255,255,5969.0,0.013728826306760311,134.0,measured,0.20148877397688925,0.021326774432553007
256,256,6017.0,0.011702558025717735,168.0,measured,0.28731831888168147,0.010300607466493292
257,257,5985.0,0.011250569485127926,109.0,measured,0.44007147787456374,0.021897702350467986
258,258,6017.0,0.018049655482172966,121.0,measured,0.3830975717887343,0.009371181454247979
259,259,6049.0,0.03902913257479668,79.0,measured,0.33266873853074924,0.02983549737068707
260,260,6049.0,0.08161979913711548,74.0,measured,0.2662119863094072,0.02582002168246201
261,261,6057.0,0.07016225159168243,85.0,measured,0.2523926173823494,0.0313633236553726
262,262,6057.0,0.02734421379864216,117.0,measured,0.20949329097995403,0.02551775644844628
263,263,6049.0,0.013202051632106304,116.0,measured,0.31315332769478327,0.03243974121238175
264,264,6017.0,0.010769474320113659,174.0,measured,0.6259536636440353,0.06305486590637092
265,265,5993.0,0.011228285729885101,209.0,measured,0.6490068095304562,0.019761700864049804
266,266,6041.0,0.010651315562427044,179.0,measured,0.527341713287007,0.012286298273210339
267,267,6065.0,0.021336140111088753,75.0,measured,0.44751286094141696,0.015164321266623395
268,268,6065.0,0.03278939425945282,76.0,measured,0.28007683293913205,0.003532142258019241
269,269,6065.0,0.06643941253423691,66.0,measured,0.2055207305697245,0.0026469823047654277
270,270,6049.0,0.03763345256447792,81.0,measured,0.1863475365147357,0.003378638211561764
271,271,6017.0,0.020156914368271828,145.0,measured,0.38263894883952154,0.011703185660173821
272,272,5973.0,0.08935493230819702,103.0,measured,0.35986782833981523,0.01426819402845244
273,273,5977.0,0.14169129729270935,106.0,measured,0.394048221280098,0.011080020844395503
274,274,5985.0,0.14476144313812256,96.0,measured,0.4883903126831687,0.016674528532051494
275,275,5985.0,0.13355711102485657,90.0,measured,0.7286543639171582,0.04776998197368579
276,276,5985.0,0.14974097907543182,90.0,measured,0.6817770454104262,0.038492589810697135
277,277,6017.0,0.19986458122730255,81.0,measured,0.556908766136765,0.009073616552567098
278,278,6041.0,0.18181449174880981,81.0,measured,0.4053664181242602,0.007910042585458925
279,279,6049.0,0.33191871643066406,64.0,measured,0.3460700808907529,0.010624333194720061
280,280,6049.0,0.3852708339691162,57.0,measured,0.40519602371313906,0.010580719133458517
281,281,6049.0,0.6430957913398743,55.0,measured,0.5752205209972785,0.026090639935660142
282,282,6049.0,0.566718578338623,58.0,measured,0.7178755072943912,0.033639203115676426
