,M2.5_971259,M2.5_971259_Body,M2.5_971259_error_Body,M2.5_971259_P,M2.5_971259_error_P,M2.5_971259_SV,M2.5_971259_error_SV,M2.5_971259_SH,M2.5_971259_error_SH
0,,1.7898576072163114e-05,2.238382603866559e-06,2.980692552739402e-11,8.496323569801978e-07,2.416615361292138e-09,3.0609485580606903e-06,2.7225069154752057e-09,2.238382603866559e-06
1,,1.720773926459532e-05,2.927491822221704e-06,3.0309801722407375e-11,8.830487918322214e-07,2.4064016826382e-09,2.8258369733546966e-06,2.7150241412848955e-09,2.927491822221704e-06
2,,1.837934502401879e-05,3.2516756177229376e-06,2.8867489176061165e-11,9.580115231009695e-07,2.812497996515734e-09,2.1655889339753797e-06,3.143982783328436e-09,3.2516756177229376e-06
3,,1.743643095189046e-05,3.119458367172137e-06,3.3688305757190036e-11,9.090793936855136e-07,3.050186792170741e-09,2.218302362922206e-06,3.3512460091771337e-09,3.119458367172137e-06
4,,1.838165389661955e-05,2.3531902993228774e-06,3.111711255389771e-11,9.858481339662312e-07,2.346998825978541e-09,3.3157996496239088e-06,2.683931532008323e-09,2.3531902993228774e-06
5,,1.6489074714735268e-05,2.5639409162326095e-06,3.3971287323147367e-11,9.501897386388357e-07,2.926346254606042e-09,2.7131715242703155e-06,3.199055204406032e-09,2.5639409162326095e-06
6,,1.637056830690201e-05,2.6504670075063056e-06,3.5672880911866026e-11,8.522632373607725e-07,2.889729426628456e-09,2.6418722976006377e-06,3.1687101976796794e-09,2.6504670075063056e-06
7,,1.1940871362152559e-05,2.681816751733656e-06,3.620299427179076e-11,8.478693684554287e-07,3.1017950642737892e-09,2.6271858820060443e-06,3.231125900201491e-09,2.681816751733656e-06
8,,1.1856696619806412e-05,2.8600614674746235e-06,3.680251851632182e-11,1.0452602222812688e-06,3.3312132072438956e-09,2.471858112704426e-06,3.4696246519383117e-09,2.8600614674746235e-06
9,,1.02139133422617e-05,2.611048841571421e-06,3.9293126747937455e-11,9.142536079091927e-07,2.794352058072239e-09,3.0740848093425026e-06,2.900188971108358e-09,2.611048841571421e-06
10,,1.3343545583211893e-05,3.20610141267122e-06,4.068978194895349e-11,8.568266579785427e-07,3.1669357149111875e-09,2.646169877705326e-06,3.343924820082867e-09,3.20610141267122e-06
11,,4.409573283456307e-06,3.3238671147694257e-06,4.136492382638021e-11,8.851566514542393e-07,3.360528312206661e-09,2.610099614810853e-06,3.3800100623083964e-09,3.3238671147694257e-06
12,,8.72916549785812e-06,2.7734143439304488e-06,4.063018512524713e-11,1.084387245591781e-06,3.41452813693829e-09,2.500011586127743e-06,3.495614476665666e-09,2.7734143439304488e-06
13,,4.943045724585141e-06,2.8915369828494003e-06,4.318731631117543e-11,1.0454453633563467e-06,3.1708094285993664e-09,2.9352234507567426e-06,3.192654998304437e-09,2.8915369828494003e-06
14,,7.126346173780199e-06,2.6056751994377913e-06,4.4687137900891095e-11,9.517645289026491e-07,2.9732602840855358e-09,2.9283311383843836e-06,3.02373654563687e-09,2.6056751994377913e-06
15,,4.410195625435923e-06,2.5241524497639616e-06,4.4462719826111734e-11,9.051435746732169e-07,3.0898183235288273e-09,3.079810812520877e-06,3.110564397869728e-09,2.5241524497639616e-06
16,,5.135914245320866e-06,2.8726861767287785e-06,4.7879315812634376e-11,8.596002115216794e-07,3.186381105464156e-09,2.572717277029938e-06,3.217295088101441e-09,2.8726861767287785e-06
17,,7.899145474286143e-06,3.612618165222041e-06,4.7493858015744685e-11,9.884180534792069e-07,3.60058152570162e-09,2.129217672559493e-06,3.6632512307559054e-09,3.612618165222041e-06
18,,1.1311554675366108e-06,2.430754104296813e-06,4.655336068277057e-11,9.587626221626455e-07,2.8531261459751435e-09,3.3761676080219045e-06,2.8544003287115194e-09,2.430754104296813e-06
19,,5.598614562182069e-06,2.9740119989950472e-06,4.7118958680105806e-11,9.155982353176321e-07,3.6481037083501155e-09,1.937345860265349e-06,3.685686803718645e-09,2.9740119989950472e-06
20,,2.913166093164783e-06,2.790489141160838e-06,4.745550744402666e-11,9.665851636367217e-07,3.3758167013867805e-09,2.833554612237165e-06,3.386222862062643e-09,2.790489141160838e-06
21,,3.8777872486143423e-07,2.6418745079360193e-06,5.040415396409171e-11,9.290481970920548e-07,3.0655801844754823e-09,2.9662913450950897e-06,3.0655867080100454e-09,2.6418745079360193e-06
22,,3.255599299685535e-06,2.9139367587234097e-06,5.0710983912822386e-11,8.336854997817043e-07,2.892568862216317e-09,3.4776432931616962e-06,2.9029043977774498e-09,2.9139367587234097e-06
23,,8.479633119400566e-06,2.980371380293431e-06,4.959713639582852e-11,1.0141178202513204e-06,3.2429695982634256e-09,2.651282067804589e-06,3.308748791712534e-09,2.980371380293431e-06
24,,8.020381083684656e-06,2.7046927653263457e-06,4.933140636676566e-11,9.523758658923503e-07,3.4699272367337557e-09,2.3494077407845715e-06,3.5431036779904778e-09,2.7046927653263457e-06
25,,1.334790075734683e-05,2.796651515061735e-06,4.902681844408357e-11,9.857796074152316e-07,3.0684334729056037e-09,2.6181669405427894e-06,3.2473024367295957e-09,2.796651515061735e-06
26,,1.294661837701563e-05,3.0972751982720153e-06,5.1241441596008887e-11,9.833598068083446e-07,2.955729165289602e-09,3.0734114186574994e-06,3.114718669227906e-09,3.0972751982720153e-06
27,,4.9355683265119e-06,2.608865511177042e-06,5.0662649611543655e-11,8.97589345662716e-07,3.390649377855595e-09,2.3017487580240582e-06,3.4138225720624075e-09,2.608865511177042e-06
28,,3.520289744874038e-06,3.1721938156639506e-06,5.54341425993998e-11,9.769571923080077e-07,3.2325464433396266e-09,3.008516084578448e-06,3.242240133829052e-09,3.1721938156639506e-06
29,,9.94917502120054e-06,2.667437243875668e-06,5.322506863703938e-11,9.558724273039445e-07,2.5642240372584313e-09,3.15188520746487e-06,2.667105771199419e-09,2.667437243875668e-06
30,,1.3524106982138754e-05,2.8221114264629367e-06,5.552297336578265e-11,1.0231982353208758e-06,2.967202272826306e-09,3.0085230622677527e-06,3.1560573552430123e-09,2.8221114264629367e-06
31,,1.0003342871082016e-05,3.5321757837326816e-06,5.3794800767343544e-11,1.1424259475437126e-06,3.8110118242625935e-09,1.6430130912116582e-06,3.8992989381340255e-09,3.5321757837326816e-06
32,,1.90256038253918e-05,2.957304969749103e-06,5.2273159452840516e-11,9.724954506724226e-07,3.1008710548903912e-09,2.529266246135228e-06,3.453904684422122e-09,2.957304969749103e-06
33,,2.0048614208207642e-05,2.7226027857507374e-06,5.2762625259155515e-11,1.0170111302031192e-06,2.6566479082252244e-09,2.862545748552073e-06,3.0235529718283683e-09,2.7226027857507374e-06
34,,2.0183547862133365e-05,3.519790640330735e-06,5.4180211933998154e-11,9.513317200805073e-07,3.481783798915215e-09,1.919808470013969e-06,3.868093595677111e-09,3.519790640330735e-06
35,,1.5166671692432528e-05,2.555547487017457e-06,4.9915691213710274e-11,9.9140733463518e-07,2.987703578915128e-09,2.3585693918123344e-06,3.2194238277726648e-09,2.555547487017457e-06
36,,1.9759640189847794e-05,2.5012686638983924e-06,5.393745408665469e-11,1.0065856079481297e-06,2.8627420802802316e-09,2.799312116623056e-06,3.2483419404057324e-09,2.5012686638983924e-06
37,,2.1674253887991522e-05,3.038114034103341e-06,4.9337848884937174e-11,8.68498296935659e-07,2.6326127156139863e-09,2.7269285174613163e-06,3.1221449712724777e-09,3.038114034103341e-06
38,,2.4902848245312647e-05,3.3664077592222195e-06,5.0991941585885506e-11,9.501171826716016e-07,3.4030758028612803e-09,2.0979440185855967e-06,4.031592870036618e-09,3.3664077592222195e-06
39,,1.7963450924137765e-05,3.3708154924935088e-06,5.076738427044445e-11,8.743582510216653e-07,2.796481180440384e-09,2.314383293864514e-06,3.122999417901041e-09,3.3708154924935088e-06
40,,2.442223514637293e-05,3.0759581406554757e-06,4.9421151612168126e-11,9.26388955744449e-07,3.067396434048477e-09,2.316318208591702e-06,3.6173701212191025e-09,3.0759581406554757e-06
41,,2.6124612396253224e-05,2.5442050454779e-06,4.7895023508157394e-11,8.15228421069191e-07,2.2615962810678593e-09,2.8734057337668992e-06,2.928422247057564e-09,2.5442050454779e-06
42,,2.3001769942913007e-05,2.544654077033907e-06,5.0267905965517526e-11,8.288559636149837e-07,2.8689172571830214e-09,2.3773810737702542e-06,3.3984420175450214e-09,2.544654077033907e-06
43,,3.747384500836478e-05,2.8997740629010663e-06,4.555251123544401e-11,9.114703729524871e-07,2.107136953017533e-09,2.634490829159639e-06,3.4806815103488245e-09,2.8997740629010663e-06
44,,2.805355455181686e-05,2.8842844276796288e-06,4.749676132625817e-11,8.840684819259848e-07,2.799005537709866e-09,2.3349093412962347e-06,3.5680981592980067e-09,2.8842844276796288e-06
45,,2.9964830704511384e-05,2.771405244905439e-06,4.662369254529615e-11,8.274859972412025e-07,2.364335200889918e-09,2.8460890504263596e-06,3.282493820549533e-09,2.771405244905439e-06
46,,2.8960700142595756e-05,2.382056729038129e-06,4.3364856364866045e-11,8.619859546335981e-07,2.136172084512324e-09,2.6039360513440836e-06,2.95801493014282e-09,2.382056729038129e-06
47,,3.472030494129519e-05,2.422669851668672e-06,4.289922689092848e-11,9.017828669856241e-07,2.228838246579341e-09,2.530173030246084e-06,3.4338429834688752e-09,2.422669851668672e-06
48,,4.0201177993444856e-05,2.5691483446089186e-06,4.1681817577985565e-11,7.381921304197196e-07,1.7627504732428265e-09,2.340385160446831e-06,3.338536500905905e-09,2.5691483446089186e-06
49,,3.8291992743048225e-05,2.301084092758362e-06,4.007603045249161e-11,8.827773906297806e-07,2.1410036407991272e-09,2.654478732750708e-06,3.5899941282390825e-09,2.301084092758362e-06
50,,3.452573821979792e-05,2.5411058207919843e-06,3.8907905107807273e-11,7.935691711572959e-07,1.8038054104151465e-09,3.0594288810021438e-06,2.9889069949975368e-09,2.5411058207919843e-06
51,,3.57710661718298e-05,2.1345947601629314e-06,3.9947154432086485e-11,9.69396394200596e-07,2.0717808876217905e-09,2.6231138227358847e-06,3.3385700225157967e-09,2.1345947601629314e-06
52,,2.9988128740309278e-05,2.422646916082191e-06,3.699789798385609e-11,7.387971677196389e-07,2.095465903823534e-09,2.8823606879429445e-06,2.9772233895238204e-09,2.422646916082191e-06
53,,3.689652741168183e-05,2.897953488217345e-06,3.7332830937193095e-11,7.890596670210571e-07,1.5943481659926064e-09,2.7239572127877037e-06,2.9666945926539513e-09,2.897953488217345e-06
54,,4.1989562604438725e-05,2.6315111121453896e-06,3.710765322981444e-11,7.802839521628066e-07,1.50925441838438e-09,2.4605183354333854e-06,3.269808718549253e-09,2.6315111121453896e-06
55,,4.146290926182841e-05,1.814315083989902e-06,3.4908325898700756e-11,7.973191717484706e-07,1.3717261861160387e-09,2.4821909997660615e-06,3.0903822417944925e-09,1.814315083989902e-06
56,,4.140653450729792e-05,2.5809254701422613e-06,3.4211668451296175e-11,7.11928592828679e-07,1.5090907572121907e-09,2.982671119804073e-06,3.2190891681642125e-09,2.5809254701422613e-06
57,,4.2309817445642234e-05,2.2962563803791867e-06,3.0700690836025854e-11,6.983681033909909e-07,1.186499358453277e-09,2.838235381894429e-06,2.959640875555962e-09,2.2962563803791867e-06
58,,3.4216959711506736e-05,2.440256228074147e-06,3.1950427539660766e-11,7.366665657028395e-07,1.4080124008130314e-09,2.499806219946231e-06,2.5465075613401612e-09,2.440256228074147e-06
59,,3.459542098673271e-05,2.510673174843361e-06,2.945005909232318e-11,7.645933829935616e-07,1.16535660496568e-09,2.880760551001447e-06,2.341652765524901e-09,2.510673174843361e-06
60,,3.674632878071128e-05,2.0527378389457035e-06,3.0282376017361506e-11,8.185651502689072e-07,1.3050732592853515e-09,2.4549442359793065e-06,2.6646395401982066e-09,2.0527378389457035e-06
61,,3.865759123352928e-05,2.1477723985959453e-06,2.8405586221595166e-11,7.002980003546847e-07,1.2460614505839688e-09,2.680464642788895e-06,2.7367262548986798e-09,2.1477723985959453e-06
62,,4.097425967826249e-05,2.4422087374591697e-06,2.898218895866816e-11,7.465966092611599e-07,1.2498570780568434e-09,2.79575406099898e-06,2.917375073908002e-09,2.4422087374591697e-06
63,,4.1028095344276596e-05,2.152322680610851e-06,2.8317197679915082e-11,6.459431924372251e-07,1.0710372943099133e-09,2.735688178808709e-06,2.7116721822979845e-09,2.152322680610851e-06
64,,4.073470270176228e-05,2.4408222217627252e-06,2.858576642182661e-11,7.120627505745167e-07,1.2351699403113422e-09,2.8723997023951335e-06,2.908521141005933e-09,2.4408222217627252e-06
65,,3.783613553802463e-05,2.6241817118335067e-06,2.4928646488065408e-11,7.466178425770016e-07,1.6201229663402287e-09,2.7081248805002564e-06,3.042028156811148e-09,2.6241817118335067e-06
66,,3.772912090594575e-05,2.0473205449985064e-06,2.5209892231205943e-11,6.619495430297723e-07,9.780877183512333e-10,3.0677074662329684e-06,2.390222941336791e-09,2.0473205449985064e-06
67,,4.1328496722670714e-05,2.029239095051909e-06,2.350118250228827e-11,5.88583854748103e-07,1.0352223896395047e-09,2.6961193749640794e-06,2.7325375982680098e-09,2.029239095051909e-06
68,,3.9915443127615974e-05,2.239401148407854e-06,2.467447049936032e-11,6.510501696383137e-07,1.0903085945715574e-09,2.5324393733826692e-06,2.6447452133539535e-09,2.239401148407854e-06
69,,3.8353329934726604e-05,2.591047670461034e-06,2.16897485970013e-11,5.929741282200373e-07,8.484783696528984e-10,2.429562869653669e-06,2.34045054410387e-09,2.591047670461034e-06
70,,3.931083154085599e-05,2.6046806211232324e-06,2.2225216867414055e-11,5.900686177834468e-07,8.21680272440072e-10,2.7130254902689084e-06,2.363653296482834e-09,2.6046806211232324e-06
71,,4.328433101122402e-05,2.1160721583706455e-06,2.014805220304716e-11,6.183866674155335e-07,6.798640998126998e-10,2.531688085144391e-06,2.5291637370674777e-09,2.1160721583706455e-06
72,,4.0555548545913635e-05,2.330593715785349e-06,1.971371277452303e-11,6.797054450017707e-07,5.899247060279415e-10,2.2228045792978684e-06,2.2318243802114595e-09,2.330593715785349e-06
73,,4.070176579913954e-05,2.337487252595757e-06,1.8924444439673154e-11,6.165881041897621e-07,1.1095489669264364e-09,2.5238813589633628e-06,2.7383617963383587e-09,2.337487252595757e-06
74,,4.304323858833835e-05,1.9186110091943112e-06,1.9707500531939347e-11,6.003384211799815e-07,7.808953515579629e-10,2.565330030194961e-06,2.626739488990555e-09,1.9186110091943112e-06
75,,4.1462503572673846e-05,2.2750239766006005e-06,1.7811714485415457e-11,5.546263133288802e-07,6.957651736736171e-10,2.640322514154837e-06,2.384365326649731e-09,2.2750239766006005e-06
76,,4.1105567785394256e-05,2.1536316987368797e-06,1.8447785135441276e-11,6.149267458850516e-07,6.108442932636002e-10,2.5956869196880106e-06,2.2918057489808614e-09,2.1536316987368797e-06
77,,4.49333828517717e-05,1.9720952661817916e-06,1.6934930705081764e-11,5.64319777766084e-07,7.967850998563403e-10,3.017307100872984e-06,2.8107546202679382e-09,1.9720952661817916e-06
78,,3.866044444210183e-05,2.4835169823519024e-06,1.5499252046796243e-11,5.672744844781998e-07,6.074032047757152e-10,2.4956220008587674e-06,2.0742613313039817e-09,2.4835169823519024e-06
79,,4.608371031382169e-05,2.0178275945846805e-06,1.6691556852487104e-11,4.6266094417177127e-07,6.060442618721738e-10,2.4843251344905646e-06,2.7376763026346377e-09,2.0178275945846805e-06
80,,4.083435159182916e-05,2.1549593044185595e-06,1.5577466542033183e-11,5.655447561406658e-07,3.6719029036868986e-10,2.658914925878183e-06,2.0257245922229117e-09,2.1549593044185595e-06
81,,4.1974810394630235e-05,2.0975772683987155e-06,1.4344183125525401e-11,5.125584621807986e-07,4.1052034352836254e-10,2.438328666654602e-06,2.1192237258338435e-09,2.0975772683987155e-06
82,,4.101090941324641e-05,1.969927674773338e-06,1.466296968041779e-11,5.400718984307857e-07,4.1526508977049864e-10,2.8603361508669234e-06,2.0927719656438695e-09,1.969927674773338e-06
83,,4.046314984212216e-05,2.116690874021925e-06,1.4268627034221598e-11,5.44152278938925e-07,4.3627912041614787e-10,2.532849323199997e-06,2.0155125978259413e-09,2.116690874021925e-06
